condition,n,selectivity,se_group_mean,ci_lo,ci_hi,p_perm,mean_matching,se_matching,mean_mismatching,se_mismatching,t,df,p_paired,cohens_d,sd_match,sd_mismatch,sd_diff
IP-IP,19,0.034465,0.006361,0.022245,0.046288,0.00019998000199980003,0.116616,0.012559,0.082151,0.007476,5.4183,18,3.788942533100656e-05,1.243,0.054744,0.032586,0.027727
SP-SP,19,0.015238,0.005117,0.005021,0.024771,0.026597340265973404,0.081299,0.012524,0.066061,0.008478,2.978,18,0.008061004939090387,0.6832,0.054593,0.036956,0.022304
IT-IT,19,0.075795,0.005908,0.064734,0.086968,9.999000099990002e-05,0.18632,0.010261,0.110526,0.005826,12.8282,18,1.710852672910946e-10,2.943,0.044725,0.025397,0.025754
IT-IP,19,0.021328,0.004241,0.013381,0.029674,0.0033996600339966003,0.04562,0.010178,0.024292,0.008318,5.0293,18,8.713642978704912e-05,1.1538,0.044363,0.036258,0.018485
