parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
34,17Networks_LH_SomMotA_10,LH,SomMotA,,Somatomotor,-32.1,-28.9,62.2,-0.0438041568282014,-0.8197622110790523,0.423074288412775,0.5579061026027206,False
35,17Networks_LH_SomMotA_11,LH,SomMotA,,Somatomotor,-29.8,-38.3,64.8,-0.0319049398863214,-0.6285251469589166,0.5375545888750791,0.6636476405865174,False
36,17Networks_LH_SomMotA_12,LH,SomMotA,,Somatomotor,-23.5,-10.7,64.9,-0.0519347695386436,-1.392355743393717,0.1807783570548653,0.2892453712877846,False
37,17Networks_LH_SomMotA_13,LH,SomMotA,,Somatomotor,-19.3,-24.3,66.5,0.0009424904373522,0.0178764765912025,0.9859340589122672,0.9933844422289848,False
38,17Networks_LH_SomMotA_14,LH,SomMotA,,Somatomotor,-8.4,-41.7,70.2,0.0442076754110419,0.8026956631101045,0.4326221387973268,0.5673732967833794,False
39,17Networks_LH_SomMotA_15,LH,SomMotA,,Somatomotor,-4.0,-25.7,68.6,-0.0029706409670289,-0.058102229955988,0.9543073619117166,0.9713052029635793,False
40,17Networks_LH_SomMotA_16,LH,SomMotA,,Somatomotor,-14.2,-11.2,72.2,-0.0135316736515775,-0.3591763405531074,0.7236420119432291,0.8223204681173059,False
41,17Networks_LH_SomMotA_17,LH,SomMotA,,Somatomotor,-18.5,-31.0,68.7,0.0045978443798557,0.0821650266317485,0.9354222691931222,0.9594074555826894,False
42,17Networks_LH_SomMotA_18,LH,SomMotA,,Somatomotor,-19.0,-40.0,71.8,0.0180195540531632,0.3844421955348527,0.7051548789435386,0.8058912902211869,False
43,17Networks_LH_SomMotA_19,LH,SomMotA,,Somatomotor,-11.9,-26.8,73.3,-0.0165569294693916,-0.360163246750384,0.7229165044310336,0.8223204681173059,False
44,17Networks_LH_SomMotB_Aud_1,LH,SomMotB,Aud,Somatomotor,-49.8,-9.8,0.5,-0.7070287180049355,-15.69757751377531,6.010415487456031e-12,8.013887316608041e-10,True
45,17Networks_LH_SomMotB_Aud_2,LH,SomMotB,Aud,Somatomotor,-55.9,-21.4,7.7,-0.9377649035231982,-21.78669118841671,2.1880884305107255e-14,8.752353722042903e-12,True
46,17Networks_LH_SomMotB_Ins_1,LH,SomMotB,Ins,Somatomotor,-36.1,-24.1,9.9,-0.7727865295176775,-13.253533126116997,1.0032976879007281e-10,6.688651252671522e-09,True
47,17Networks_LH_SomMotB_S2_1,LH,SomMotB,S2,Somatomotor,-38.3,-9.1,12.8,-0.1884839870706464,-4.47810288029544,0.0002907101480977,0.0019380676539847,True
48,17Networks_LH_SomMotB_S2_2,LH,SomMotB,S2,Somatomotor,-35.7,-26.3,18.9,-0.5253117221620658,-9.90416783495106,1.0355398405481281e-08,3.45179946849376e-07,True
49,17Networks_LH_SomMotB_Aud_3,LH,SomMotB,Aud,Somatomotor,-58.6,-37.0,15.7,-0.4462579680534012,-5.997166699338571,1.1335563214409598e-05,0.0001295492938789,True
50,17Networks_LH_SomMotB_Aud_4,LH,SomMotB,Aud,Somatomotor,-41.1,-34.9,14.3,-0.6602020698894722,-9.524855195830948,1.8789915987229444e-08,5.781512611455214e-07,True
51,17Networks_LH_SomMotB_S2_3,LH,SomMotB,S2,Somatomotor,-48.7,-12.9,14.2,-0.4948608910657271,-10.444869124858291,4.552030018850954e-09,1.655283643218529e-07,True
52,17Networks_LH_SomMotB_S2_4,LH,SomMotB,S2,Somatomotor,-59.6,-2.3,11.3,-0.3180990784418611,-6.261510251014945,6.626136767220611e-06,8.031680929964376e-05,True
53,17Networks_LH_SomMotB_S2_5,LH,SomMotB,S2,Somatomotor,-48.1,-24.2,17.8,-0.4293578991577295,-9.213610292300926,3.101728355178095e-08,8.862081014794558e-07,True
54,17Networks_LH_SomMotB_S2_6,LH,SomMotB,S2,Somatomotor,-60.9,-17.5,19.5,-0.2526695191671938,-4.244437271636107,0.0004876464051896,0.0028685082658212,True
55,17Networks_LH_SomMotB_Cent_1,LH,SomMotB,Cent,Somatomotor,-59.2,-2.2,23.7,-0.0969559763636652,-2.0009089909241875,0.0607152464177513,0.1264900967036485,False
56,17Networks_LH_SomMotB_Cent_2,LH,SomMotB,Cent,Somatomotor,-62.4,-10.3,31.2,-0.0884480533175956,-2.013473548820353,0.0592640099956019,0.1241131099384334,False
57,17Networks_LH_SomMotB_Cent_3,LH,SomMotB,Cent,Somatomotor,-53.2,-9.0,30.0,-0.0518051468474494,-1.045378189876151,0.3096844639016723,0.4439920629414657,False
58,17Networks_LH_SomMotB_Cent_4,LH,SomMotB,Cent,Somatomotor,-50.9,-6.8,43.1,-0.0443235553543163,-0.9622467100397792,0.3486752474635948,0.4842711770327705,False
59,17Networks_LH_SomMotB_Cent_5,LH,SomMotB,Cent,Somatomotor,-48.0,-16.3,40.2,-0.0400341937829606,-0.8941902348438374,0.3830209445824546,0.5228954874845798,False
60,17Networks_LH_DorsAttnA_TempOcc_1,LH,DorsAttnA,TempOcc,Dorsal attention,-44.9,-42.3,-21.3,-0.0714137894392934,-2.1633095215525,0.0442171192077939,0.0982602649062087,False
61,17Networks_LH_DorsAttnA_TempOcc_2,LH,DorsAttnA,TempOcc,Dorsal attention,-32.2,-41.4,-21.0,-0.0010636063762393,-0.0251113222270124,0.9802424681747042,0.990143907247176,False
62,17Networks_LH_DorsAttnA_TempOcc_3,LH,DorsAttnA,TempOcc,Dorsal attention,-48.7,-55.7,-15.5,0.0355229095764057,0.6962619877221737,0.4951581103657101,0.634818090212449,False
63,17Networks_LH_DorsAttnA_TempOcc_4,LH,DorsAttnA,TempOcc,Dorsal attention,-45.2,-70.0,-8.3,0.0827578411696849,1.4715121008242775,0.1584203507759205,0.2640339179598675,False
64,17Networks_LH_DorsAttnA_ParOcc_1,LH,DorsAttnA,ParOcc,Dorsal attention,-47.9,-65.3,14.9,0.0056601022365744,0.1150108363478878,0.9097098072133156,0.9389660092779456,False
65,17Networks_LH_DorsAttnA_ParOcc_2,LH,DorsAttnA,ParOcc,Dorsal attention,-31.8,-84.1,27.0,0.1471550559115583,2.291232516920118,0.034229789351437,0.081432097090416,False
66,17Networks_LH_DorsAttnA_SPL_1,LH,DorsAttnA,SPL,Dorsal attention,-26.4,-70.1,30.4,0.1258410439837869,1.8299547365368476,0.0838687416653409,0.1652586042666816,False
67,17Networks_LH_DorsAttnA_SPL_2,LH,DorsAttnA,SPL,Dorsal attention,-21.2,-78.6,44.7,0.1761608285336689,2.2887052159703676,0.0344050610207007,0.081432097090416,False
68,17Networks_LH_DorsAttnA_SPL_3,LH,DorsAttnA,SPL,Dorsal attention,-22.7,-65.5,46.4,0.1587660769131664,2.8050572125177355,0.0117091172465284,0.035215390215123,True
69,17Networks_LH_DorsAttnA_SPL_4,LH,DorsAttnA,SPL,Dorsal attention,-28.7,-58.0,50.6,0.1327516308822208,2.1209747769139016,0.0480701814411758,0.1055822230858239,False
70,17Networks_LH_DorsAttnA_SPL_5,LH,DorsAttnA,SPL,Dorsal attention,-35.9,-51.8,56.0,0.1175782520799148,1.610385042176713,0.1247104546513626,0.2217074749357558,False
71,17Networks_LH_DorsAttnA_SPL_6,LH,DorsAttnA,SPL,Dorsal attention,-14.9,-71.1,57.0,0.1640890134387267,2.240012858314425,0.0379482878078777,0.0871308830593294,False
72,17Networks_LH_DorsAttnA_SPL_7,LH,DorsAttnA,SPL,Dorsal attention,-28.2,-61.2,62.3,0.0942385360314121,1.260947756760397,0.2234270794182846,0.3372484217634486,False
73,17Networks_LH_DorsAttnB_PostC_1,LH,DorsAttnB,PostC,Dorsal attention,-61.4,-23.3,32.8,0.0153769638096061,0.2746127424083159,0.786740776829839,0.856688459174863,False
74,17Networks_LH_DorsAttnB_PostC_2,LH,DorsAttnB,PostC,Dorsal attention,-54.8,-19.8,40.7,-0.089508894206028,-2.064633862935787,0.0536720919589788,0.116047766397792,False
75,17Networks_LH_DorsAttnB_PostC_3,LH,DorsAttnB,PostC,Dorsal attention,-54.8,-31.3,44.4,0.1655764153987311,2.304584422831115,0.0333174696645655,0.080283059432688,False
76,17Networks_LH_DorsAttnB_PostC_4,LH,DorsAttnB,PostC,Dorsal attention,-46.2,-29.1,43.8,0.0274085377666513,0.4427032050781684,0.6632544884335264,0.7757362437819022,False
77,17Networks_LH_DorsAttnB_PostC_5,LH,DorsAttnB,PostC,Dorsal attention,-39.0,-37.5,49.8,0.0915817799367515,1.457496083417732,0.1622055297705805,0.268108313670381,False
78,17Networks_LH_DorsAttnB_PostC_6,LH,DorsAttnB,PostC,Dorsal attention,-30.2,-46.3,62.7,-0.0524263827260284,-1.0580583632726532,0.3040222142815305,0.4390212480599718,False
79,17Networks_LH_DorsAttnB_PostC_7,LH,DorsAttnB,PostC,Dorsal attention,-7.4,-58.5,63.1,0.1400446446058969,1.8037242317491664,0.0880379164379735,0.1699718853457692,False
80,17Networks_LH_DorsAttnB_PostC_8,LH,DorsAttnB,PostC,Dorsal attention,-19.7,-56.5,66.3,0.0369552790188271,0.6628585447895091,0.5158203584756823,0.6524424845715326,False
81,17Networks_LH_DorsAttnB_PostC_9,LH,DorsAttnB,PostC,Dorsal attention,-12.9,-50.6,71.6,0.0202350963489148,0.3885847056970832,0.7021413630812853,0.8047465479441664,False
82,17Networks_LH_DorsAttnB_FEF_1,LH,DorsAttnB,FEF,Dorsal attention,-40.3,-2.3,51.3,-0.0670739211272624,-1.0713550149049385,0.298165223804169,0.4336948709878822,False
83,17Networks_LH_DorsAttnB_FEF_2,LH,DorsAttnB,FEF,Dorsal attention,-25.7,-0.5,55.2,0.0539745319622555,0.9861379679947554,0.3371364969017913,0.4765180168223199,False
84,17Networks_LH_DorsAttnB_FEF_3,LH,DorsAttnB,FEF,Dorsal attention,-30.0,-8.0,51.7,0.0368186269534624,0.6608778063100713,0.5170606690229397,0.6524424845715326,False
85,17Networks_LH_DorsAttnB_PrCv_1,LH,DorsAttnB,PrCv,Dorsal attention,-50.0,2.6,38.0,-0.017251893730185,-0.3521927059023632,0.7287835803257008,0.8234842715544641,False
86,17Networks_LH_SalVentAttnA_ParOper_1,LH,SalVentAttnA,ParOper,Salience / ventral attention,-54.6,-32.0,22.2,-0.234358818781891,-3.852178201194428,0.0011674321926672,0.0059110490767964,True
87,17Networks_LH_SalVentAttnA_ParOper_2,LH,SalVentAttnA,ParOper,Salience / ventral attention,-58.0,-44.2,27.3,-0.0540112080972952,-0.9402218296848368,0.3595512344799165,0.495932737213678,False
88,17Networks_LH_SalVentAttnA_ParOper_3,LH,SalVentAttnA,ParOper,Salience / ventral attention,-61.2,-36.1,33.3,0.0982530781703737,1.8100225956657607,0.0870206176429729,0.1697963271082399,False
89,17Networks_LH_SalVentAttnA_Ins_1,LH,SalVentAttnA,Ins,Salience / ventral attention,-38.7,1.9,-4.6,0.0495803758020253,1.283778127248169,0.2155000775571476,0.3290077519956453,False
90,17Networks_LH_SalVentAttnA_Ins_2,LH,SalVentAttnA,Ins,Salience / ventral attention,-39.8,-14.4,-1.7,-0.222285767190805,-4.941237594801225,0.0001054499268614,0.0008435994148918,True
91,17Networks_LH_SalVentAttnA_Ins_3,LH,SalVentAttnA,Ins,Salience / ventral attention,-33.0,19.2,8.2,0.2127777743559056,4.394233971928773,0.0003498979248924,0.002257405967048,True
92,17Networks_LH_SalVentAttnA_Ins_4,LH,SalVentAttnA,Ins,Salience / ventral attention,-36.5,4.4,10.7,0.1004691021879821,2.045727254054843,0.0556805479834851,0.1184692510286917,False
93,17Networks_LH_SalVentAttnA_FrOper_1,LH,SalVentAttnA,FrOper,Salience / ventral attention,-50.5,1.5,4.4,-0.2185220078174883,-4.213524613534294,0.0005222907914977,0.0030277727043346,True
94,17Networks_LH_SalVentAttnA_FrOper_2,LH,SalVentAttnA,FrOper,Salience / ventral attention,-52.1,8.7,13.3,0.1023634931155761,1.6323127031326556,0.1199842914045579,0.2152184599184895,False
95,17Networks_LH_SalVentAttnA_ParMed_1,LH,SalVentAttnA,ParMed,Salience / ventral attention,-11.0,-27.4,41.1,0.1418841703508785,2.8568422579612744,0.0104763342340121,0.0324847573147664,True
96,17Networks_LH_SalVentAttnA_ParMed_2,LH,SalVentAttnA,ParMed,Salience / ventral attention,-12.6,-41.5,47.3,0.1668629337770764,3.14123090622853,0.0056458520431145,0.0199853169667772,True
97,17Networks_LH_SalVentAttnA_ParMed_3,LH,SalVentAttnA,ParMed,Salience / ventral attention,-5.8,-49.1,57.0,0.1466614664743062,2.5226206982902215,0.0212820264419331,0.0583069217587209,False
98,17Networks_LH_SalVentAttnA_FrMed_1,LH,SalVentAttnA,FrMed,Salience / ventral attention,-6.5,0.8,40.5,0.0561270575926055,1.0618784847322644,0.302331072294636,0.4381609743400523,False
99,17Networks_LH_SalVentAttnA_FrMed_2,LH,SalVentAttnA,FrMed,Salience / ventral attention,-5.3,9.3,48.4,0.232345266372005,3.6464552110774062,0.0018461442154506,0.0087911629307172,True
100,17Networks_LH_SalVentAttnA_FrMed_3,LH,SalVentAttnA,FrMed,Salience / ventral attention,-8.5,-2.7,70.9,0.0562731755794315,1.1390891685542257,0.2695990089244411,0.3964691307712369,False
101,17Networks_LH_SalVentAttnB_PFCl_1,LH,SalVentAttnB,PFCl,Salience / ventral attention,-38.2,49.1,11.0,0.2313738621981029,3.990661189810688,0.0008574808549515,0.0045732312264084,True
102,17Networks_LH_SalVentAttnB_PFCl_2,LH,SalVentAttnB,PFCl,Salience / ventral attention,-28.9,43.3,29.5,0.3039708278215489,4.555361071408324,0.0002451854169295,0.0017513244066397,True
103,17Networks_LH_SalVentAttnB_PFCl_3,LH,SalVentAttnB,PFCl,Salience / ventral attention,-35.9,32.0,38.5,0.2763890880782992,5.205539466206972,5.9631467500615225e-05,0.0005421042500055,True
104,17Networks_LH_SalVentAttnB_Ins_1,LH,SalVentAttnB,Ins,Salience / ventral attention,-33.4,16.5,-8.3,0.1796988863785935,5.415151311153638,3.814347728799162e-05,0.0003721314857365,True
105,17Networks_LH_SalVentAttnB_Ins_2,LH,SalVentAttnB,Ins,Salience / ventral attention,-32.9,24.6,-0.8,0.1637369196228189,3.249984011564204,0.0044455668423289,0.0167757239333168,True
106,17Networks_LH_SalVentAttnB_Ins_3,LH,SalVentAttnB,Ins,Salience / ventral attention,-43.3,11.9,2.3,0.2160105702516382,4.501923355261999,0.0002758268534527,0.0018700125657814,True
107,17Networks_LH_SalVentAttnB_OFC_1,LH,SalVentAttnB,OFC,Salience / ventral attention,-27.1,49.3,-13.7,0.1657054373193395,3.3878542256492987,0.003278507060409,0.0132464931733699,True
