parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,isc_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
34,17Networks_LH_SomMotA_10,LH,SomMotA,nan,Somatomotor,-32.1,-28.9,62.2,0.0327828908196596,1.2610926673630642,0.2155424788998404,0.582547240269839,False
35,17Networks_LH_SomMotA_11,LH,SomMotA,nan,Somatomotor,-29.8,-38.3,64.8,0.04277680870110749,1.4302838424315927,0.16174404853288302,0.4963802258690718,False
36,17Networks_LH_SomMotA_12,LH,SomMotA,nan,Somatomotor,-23.5,-10.7,64.9,-0.0024822674705100647,-0.09245108565305293,0.9268629022194855,0.972893773023287,False
37,17Networks_LH_SomMotA_13,LH,SomMotA,nan,Somatomotor,-19.3,-24.3,66.5,0.01670765446120674,0.641547471986329,0.5258553018367268,0.8248710617046695,False
38,17Networks_LH_SomMotA_14,LH,SomMotA,nan,Somatomotor,-8.4,-41.7,70.2,0.005252729224753838,0.18588897813122657,0.8535940739301214,0.9705257342996342,False
39,17Networks_LH_SomMotA_15,LH,SomMotA,nan,Somatomotor,-4.0,-25.7,68.6,0.023104854622537613,0.7485532246194132,0.45899210825651154,0.7848760876857704,False
40,17Networks_LH_SomMotA_16,LH,SomMotA,nan,Somatomotor,-14.2,-11.2,72.2,-0.013310272776307842,-0.4689150718414691,0.6419703131941598,0.9033174536611874,False
41,17Networks_LH_SomMotA_17,LH,SomMotA,nan,Somatomotor,-18.5,-31.0,68.7,-0.0026060425669396647,-0.09727694168758985,0.9230722295025215,0.972893773023287,False
42,17Networks_LH_SomMotA_18,LH,SomMotA,nan,Somatomotor,-19.0,-40.0,71.8,0.024262990814301576,0.7919843368468582,0.4335649166781806,0.7673715339436825,False
43,17Networks_LH_SomMotA_19,LH,SomMotA,nan,Somatomotor,-11.9,-26.8,73.3,0.0077942198646513555,0.27421328298701675,0.7855294041680155,0.9521568535369885,False
44,17Networks_LH_SomMotB_Aud_1,LH,SomMotB,Aud,Somatomotor,-49.8,-9.8,0.5,-0.05675863303597317,-1.693376070361101,0.09902834325363215,0.4018177166890552,False
45,17Networks_LH_SomMotB_Aud_2,LH,SomMotB,Aud,Somatomotor,-55.9,-21.4,7.7,-0.09382662981168916,-2.524194766538476,0.01625404685728352,0.23220066938976458,False
46,17Networks_LH_SomMotB_Ins_1,LH,SomMotB,Ins,Somatomotor,-36.1,-24.1,9.9,-0.0810270636991943,-2.92778870880818,0.005977969589019972,0.1431890953834576,False
47,17Networks_LH_SomMotB_S2_1,LH,SomMotB,S2,Somatomotor,-38.3,-9.1,12.8,-0.003521270654562675,-0.14753674348259857,0.8835453345356575,0.972347065051684,False
48,17Networks_LH_SomMotB_S2_2,LH,SomMotB,S2,Somatomotor,-35.7,-26.3,18.9,-0.032222411889892666,-1.5311802682105027,0.13712058733845334,0.47442905263936713,False
49,17Networks_LH_SomMotB_Aud_3,LH,SomMotB,Aud,Somatomotor,-58.6,-37.0,15.7,0.006197564621579471,0.14162901016380713,0.8882453234490543,0.972893773023287,False
50,17Networks_LH_SomMotB_Aud_4,LH,SomMotB,Aud,Somatomotor,-41.1,-34.9,14.3,-0.024189416447487927,-0.6783409828097675,0.5019155595766722,0.8094739011290422,False
51,17Networks_LH_SomMotB_S2_3,LH,SomMotB,S2,Somatomotor,-48.7,-12.9,14.2,-0.05238472568453141,-2.1300462979296255,0.04008963892906284,0.32726235860459457,False
52,17Networks_LH_SomMotB_S2_4,LH,SomMotB,S2,Somatomotor,-59.6,-2.3,11.3,-0.05353911155015423,-1.6211173129512406,0.1168705837036029,0.44522127125182054,False
