parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,isc_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
34,17Networks_LH_SomMotA_10,LH,SomMotA,nan,Somatomotor,-32.1,-28.9,62.2,0.048662364681396314,2.469022009780141,0.02378885847045745,0.02955137698193472,True
35,17Networks_LH_SomMotA_11,LH,SomMotA,nan,Somatomotor,-29.8,-38.3,64.8,0.06583129802510161,2.763570001442875,0.012796213505673984,0.016618459098277902,True
36,17Networks_LH_SomMotA_12,LH,SomMotA,nan,Somatomotor,-23.5,-10.7,64.9,0.06417905063703061,3.7260142649050874,0.0015464073898478574,0.0024643942467694937,True
37,17Networks_LH_SomMotA_13,LH,SomMotA,nan,Somatomotor,-19.3,-24.3,66.5,0.029033338185698636,1.3265713951384919,0.20123600808235523,0.21522567709342807,False
38,17Networks_LH_SomMotA_14,LH,SomMotA,nan,Somatomotor,-8.4,-41.7,70.2,0.09952369281161384,4.983319087204096,9.625569796596717e-05,0.0002139015510354826,True
39,17Networks_LH_SomMotA_15,LH,SomMotA,nan,Somatomotor,-4.0,-25.7,68.6,0.06817019630934425,3.0600376635253363,0.006743136651757292,0.009268916359803838,True
40,17Networks_LH_SomMotA_16,LH,SomMotA,nan,Somatomotor,-14.2,-11.2,72.2,0.022561956244223195,1.0761049396892584,0.29609289038828607,0.3076289770267907,False
41,17Networks_LH_SomMotA_17,LH,SomMotA,nan,Somatomotor,-18.5,-31.0,68.7,0.06854394588570131,3.022875586025976,0.0073121934696883314,0.009914838602967229,True
42,17Networks_LH_SomMotA_18,LH,SomMotA,nan,Somatomotor,-19.0,-40.0,71.8,0.03869005042012002,1.7920344719866916,0.08995360540957918,0.10107146675233616,False
43,17Networks_LH_SomMotA_19,LH,SomMotA,nan,Somatomotor,-11.9,-26.8,73.3,0.03848295740213814,1.7610542134418175,0.09520746145300937,0.10667502683810574,False
44,17Networks_LH_SomMotB_Aud_1,LH,SomMotB,Aud,Somatomotor,-49.8,-9.8,0.5,0.32892809006610707,13.275097889072718,9.768811750162316e-11,4.6118598911989135e-09,True
45,17Networks_LH_SomMotB_Aud_2,LH,SomMotB,Aud,Somatomotor,-55.9,-21.4,7.7,0.4274128610032409,13.506944183881407,7.349013299921165e-11,4.605391624402824e-09,True
46,17Networks_LH_SomMotB_Ins_1,LH,SomMotB,Ins,Somatomotor,-36.1,-24.1,9.9,0.2101614214247607,9.614563929115551,1.6296296706477856e-08,2.3081738557889288e-07,True
47,17Networks_LH_SomMotB_S2_1,LH,SomMotB,S2,Somatomotor,-38.3,-9.1,12.8,0.06355502377472655,3.519338239786091,0.00244924825788885,0.003725092407435513,True
48,17Networks_LH_SomMotB_S2_2,LH,SomMotB,S2,Somatomotor,-35.7,-26.3,18.9,0.13143361765534467,6.9150874803742814,1.8286088583897117e-06,8.218466779279603e-06,True
49,17Networks_LH_SomMotB_Aud_3,LH,SomMotB,Aud,Somatomotor,-58.6,-37.0,15.7,0.2095437247138899,7.030950374319055,1.4642685240430067e-06,6.972707257347651e-06,True
50,17Networks_LH_SomMotB_Aud_4,LH,SomMotB,Aud,Somatomotor,-41.1,-34.9,14.3,0.222426373847293,8.141039969754827,1.909030700844401e-07,1.497278981054432e-06,True
51,17Networks_LH_SomMotB_S2_3,LH,SomMotB,S2,Somatomotor,-48.7,-12.9,14.2,0.16826472825663397,9.786223944101025,1.2441471229882138e-08,1.843180922945502e-07,True
52,17Networks_LH_SomMotB_S2_4,LH,SomMotB,S2,Somatomotor,-59.6,-2.3,11.3,0.1544722270845659,5.034360201643729,8.619280245078646e-05,0.0001981443734500838,True
53,17Networks_LH_SomMotB_S2_5,LH,SomMotB,S2,Somatomotor,-48.1,-24.2,17.8,0.11548103686614455,6.105796268741306,9.081085988093827e-06,3.0270286626979424e-05,True
54,17Networks_LH_SomMotB_S2_6,LH,SomMotB,S2,Somatomotor,-60.9,-17.5,19.5,0.13800224450803997,7.20700847578325,1.0483351173288862e-06,5.5911206257540595e-06,True
55,17Networks_LH_SomMotB_Cent_1,LH,SomMotB,Cent,Somatomotor,-59.2,-2.2,23.7,0.22828519181635532,5.007324705676974,9.138149915177593e-05,0.0002086517383428463,True
56,17Networks_LH_SomMotB_Cent_2,LH,SomMotB,Cent,Somatomotor,-62.4,-10.3,31.2,0.09096010024902333,3.0893111298585283,0.00632545602100633,0.008766294115600636,True
57,17Networks_LH_SomMotB_Cent_3,LH,SomMotB,Cent,Somatomotor,-53.2,-9.0,30.0,0.28714193766068524,7.003312585596506,1.5437174632838173e-06,7.186555734484502e-06,True
58,17Networks_LH_SomMotB_Cent_4,LH,SomMotB,Cent,Somatomotor,-50.9,-6.8,43.1,0.24538422895023948,4.314592859983821,0.0004173752620205297,0.000776512115387032,True
59,17Networks_LH_SomMotB_Cent_5,LH,SomMotB,Cent,Somatomotor,-48.0,-16.3,40.2,0.24044128672071946,5.127541865888498,7.050405500218935e-05,0.0001650899524839032,True
60,17Networks_LH_DorsAttnA_TempOcc_1,LH,DorsAttnA,TempOcc,Dorsal attention,-44.9,-42.3,-21.3,0.08930235666650892,2.314733222517528,0.0326391560006563,0.03925559691994802,True
61,17Networks_LH_DorsAttnA_TempOcc_2,LH,DorsAttnA,TempOcc,Dorsal attention,-32.2,-41.4,-21.0,0.05438124625312737,2.370284422391034,0.029148177370774943,0.035438513520699017,True
62,17Networks_LH_DorsAttnA_TempOcc_3,LH,DorsAttnA,TempOcc,Dorsal attention,-48.7,-55.7,-15.5,0.10189432868861548,4.472304016725897,0.00029445489991028787,0.0005662594229043998,True
63,17Networks_LH_DorsAttnA_TempOcc_4,LH,DorsAttnA,TempOcc,Dorsal attention,-45.2,-70.0,-8.3,0.0564133298197464,3.1201238076689504,0.005913072098885322,0.008270030907531919,True
64,17Networks_LH_DorsAttnA_ParOcc_1,LH,DorsAttnA,ParOcc,Dorsal attention,-47.9,-65.3,14.9,0.132817478890992,5.553098512096311,2.8503486635428797e-05,7.767336597067302e-05,True
