parcel_id,parcel_label,reliable_IP_IP_mean,reliable_IP_IP_ci_lo,reliable_IP_IP_ci_hi,reliable_IP_IP_score,reliable_IP_IP_passes,reliable_IP_IP_theta_z,reliable_IP_IP_se_group_mean_z,reliable_IP_IP_sign_flip_p,reliable_IP_IP_t_epoch,reliable_IP_IP_df_epoch,reliable_IP_IP_p_epoch,reliable_IP_IP_cohens_d,reliable_IP_IP_pseudo_mean,reliable_IP_IP_pseudo_sd,reliable_IP_IP_pseudo_se,reliable_SP_SP_mean,reliable_SP_SP_ci_lo,reliable_SP_SP_ci_hi,reliable_SP_SP_score,reliable_SP_SP_passes,reliable_SP_SP_theta_z,reliable_SP_SP_se_group_mean_z,reliable_SP_SP_sign_flip_p,reliable_SP_SP_t_epoch,reliable_SP_SP_df_epoch,reliable_SP_SP_p_epoch,reliable_SP_SP_cohens_d,reliable_SP_SP_pseudo_mean,reliable_SP_SP_pseudo_sd,reliable_SP_SP_pseudo_se,reliable_IT_IT_mean,reliable_IT_IT_ci_lo,reliable_IT_IT_ci_hi,reliable_IT_IT_score,reliable_IT_IT_passes,reliable_IT_IT_theta_z,reliable_IT_IT_se_group_mean_z,reliable_IT_IT_sign_flip_p,reliable_IT_IT_t_epoch,reliable_IT_IT_df_epoch,reliable_IT_IT_p_epoch,reliable_IT_IT_cohens_d,reliable_IT_IT_pseudo_mean,reliable_IT_IT_pseudo_sd,reliable_IT_IT_pseudo_se,reliable_IT_IP_mean,reliable_IT_IP_ci_lo,reliable_IT_IP_ci_hi,reliable_IT_IP_score,reliable_IT_IP_passes,reliable_IT_IP_theta_z,reliable_IT_IP_se_group_mean_z,reliable_IT_IP_sign_flip_p,reliable_IT_IP_t_epoch,reliable_IT_IP_df_epoch,reliable_IT_IP_p_epoch,reliable_IT_IP_cohens_d,reliable_IT_IP_pseudo_mean,reliable_IT_IP_pseudo_sd,reliable_IT_IP_pseudo_se,select_IP_IP_mean,select_IP_IP_t,select_IP_IP_p_perm,select_IP_IP_ci_lo,select_IP_IP_ci_hi,select_IP_IP_passes,evolve_IP_IP_slope,evolve_IP_IP_t,evolve_IP_IP_p_t,evolve_IP_IP_p_perm,evolve_IP_IP_passes,select_SP_SP_mean,select_SP_SP_t,select_SP_SP_p_perm,select_SP_SP_ci_lo,select_SP_SP_ci_hi,select_SP_SP_passes,evolve_SP_SP_slope,evolve_SP_SP_t,evolve_SP_SP_p_t,evolve_SP_SP_p_perm,evolve_SP_SP_passes,select_IT_IT_mean,select_IT_IT_t,select_IT_IT_p_perm,select_IT_IT_ci_lo,select_IT_IT_ci_hi,select_IT_IT_passes,evolve_IT_IT_slope,evolve_IT_IT_t,evolve_IT_IT_p_t,evolve_IT_IT_p_perm,evolve_IT_IT_passes,select_IT_IP_mean,select_IT_IP_t,select_IT_IP_p_perm,select_IT_IP_ci_lo,select_IT_IP_ci_hi,select_IT_IP_passes,evolve_IT_IP_slope,evolve_IT_IP_t,evolve_IT_IP_p_t,evolve_IT_IP_p_perm,evolve_IT_IP_passes
1,1_17Networks_LH_VisCent_ExStr_1,0.008961643532996237,-0.004853745490910189,0.024559623470454844,0.032396760323967606,True,0.00896188345090551,0.007789193008766096,0.032396760323967606,1.1505535221453165,16,0.266821857786707,0.5438475865366094,0.01585199301279268,0.03433399206349132,0.007876757985951903,0.009740765611784857,-0.004532224868890663,0.02565918819890526,0.140985901409859,False,0.009741073705436795,0.007963063589619008,0.140985901409859,1.2232821697086127,16,0.23893467788821315,0.3709936576520374,0.013662566016983027,0.05319805419651468,0.012204470643979332,0.020291182605167088,0.007503933977310694,0.035673495152576735,0.006299370062993701,True,0.020293968137019645,0.007387666752208245,0.006299370062993701,2.747006438934672,16,0.014321924759187468,0.8441512844269463,0.028947378187044136,0.047270130908121204,0.01084451177244415,0.020475743113043742,0.009881632257276106,0.03138841075272277,0.00039996000399960006,True,0.020478605359520712,0.005673200273817099,0.00039996000399960006,3.609709576803306,16,0.002350500274975408,0.97469566181572,0.020478605359520653,0.021010255982233435,0.004820083294972443,0.0034793977380691886,0.9227830832419254,0.2595740425957404,-0.0036779446641862115,0.010918150959298394,False,0.0004244106315230281,0.5406348703882561,0.5953867079250293,0.613038696130387,False,0.0053926732775831905,1.0976635100616854,0.1685831416858314,-0.0038198717269312898,0.014940064567427202,False,-0.00046786153849651287,-0.6920206313932247,0.4977548414969063,0.5945405459454055,False,0.013353115370020631,2.4352130923387088,0.0065993400659934,0.003786422529206484,0.023997988660283177,True,0.0002051917448840142,0.1908030065821582,0.8508154822779198,0.7968203179682032,False,0.01988974523830612,4.128138357887819,0.00039996000399960006,0.011061387264512603,0.029384534135130168,True,0.0013111008412591161,1.2772332071108121,0.21774977973671517,0.1494850514948505,False
2,2_17Networks_LH_VisCent_ExStr_2,0.009522159747155791,-0.0075649864159494234,0.027702348509906174,0.20327967203279673,False,0.009522447559066251,0.009410602149198996,0.20327967203279673,1.0118850428584718,16,0.3266515855435916,0.34983507348125853,0.010772676806862898,0.056328428756840215,0.012922627821026152,0.0027387717803059237,-0.011624347620996065,0.017199345263603127,0.30146985301469853,False,0.002738778628061226,0.007621452822621893,0.30146985301469853,0.3593512538622586,16,0.7240309485846039,0.1613483652068635,0.004072023453373807,0.03376361043354626,0.007745903465731771,0.0269700350786749,0.010221911172791724,0.043369983727580275,0.000999900009999,True,0.026976577113857213,0.008829958478761458,0.000999900009999,3.0551193619702173,16,0.0075574279472381154,1.291949687177681,0.03719281384381895,0.04300273852956258,0.009865504818203481,0.013235957019096564,0.0032615718787372843,0.023212721594579724,0.0072992700729927005,True,0.013236730038586499,0.005181118640907551,0.0072992700729927005,2.5548015700848508,16,0.021196436658377962,0.6276593892953,0.013236730038586532,0.021089033740812738,0.0048381561522695925,0.002093698907832547,0.33668934406196954,0.34796520347965204,-0.010191551707264379,0.01365580777521113,False,0.00057186767757182,0.8313880557276734,0.41664746987609325,0.5094490550944906,False,-0.003271746266716702,-0.8333894667952743,0.7384261573842615,-0.010500084029444835,0.0046209703999405445,False,0.00024127211708942342,0.48118329059656884,0.6361836189078119,0.7729227077292271,False,0.017388024014232655,3.668181418456202,0.0005999400059994001,0.008622034954474764,0.02674889831822154,True,0.0007291083044320306,0.8858449771318265,0.3873827603572238,0.3912608739126087,False,0.009853415732346878,2.0419663025825323,0.036396360363963605,0.00026179106728445046,0.018669075837549093,True,-0.001176412086375859,-1.1782169968513165,0.25405248009068565,0.14928507149285072,False
3,3_17Networks_LH_VisCent_ExStr_3,0.0200640954481522,0.003960498993909949,0.034884826585200424,0.047495250474952504,True,0.020066788485758703,0.008162237752942121,0.047495250474952504,2.4584910527171946,16,0.025731549428074776,0.5440141457289444,0.030284572395462853,0.07552750610616203,0.017327198240758495,0.003932085218493013,-0.015709636726354597,0.026249506257138313,0.45495450454954506,False,0.003932105483723091,0.011130795970777898,0.45495450454954506,0.3532636384716958,16,0.7285022081912715,0.12839760528068267,0.0019330484434844225,0.06473432084542867,0.014851071723366421,0.03509927300612248,0.012694841889521774,0.05943399755115683,0.004299570042995701,True,0.03511369729105571,0.012543831880353884,0.004299570042995701,2.799279966917501,16,0.012860453668932029,1.0540531901884391,0.048616839111290944,0.06882646159101759,0.01578987319561733,0.021549315415004232,0.0014998714628031515,0.04237956611823074,0.017598240175982403,True,0.021552651984746762,0.010898731171966786,0.017598240175982403,1.977537719269882,16,0.06547080147835527,0.5150621885351083,0.02155265198474673,0.04184475673907418,0.009599845575929838,0.015739019035089268,1.95635433083615,0.017698230176982303,-0.0001538711894925193,0.030706931073588167,True,-7.023158360616358e-05,-0.05088107385200913,0.9599806714169346,0.9598040195980402,False,0.008178623129084829,1.227734322573947,0.10118988101189881,-0.00412990812687229,0.02122830716733581,False,-7.732946957078702e-05,-0.07367296030147134,0.9420831537335874,0.9476052394760524,False,0.023050204543711796,3.6412533974264916,0.00039996000399960006,0.010861001736447435,0.03496335631899364,True,-0.0015458141523716088,-1.4284034761992515,0.17029858042962143,0.1494850514948505,False,0.019714289884368255,2.4423823306157653,0.0047995200479952005,0.004889087671640995,0.03530799581670282,True,-0.000160134608554593,-0.1591572709595627,0.8753171719502146,0.8854114588541145,False
4,4_17Networks_LH_VisCent_ExStr_4,0.011005573835865095,-0.00669721590184196,0.028165755250432682,0.08399160083991601,False,0.011006018209602387,0.009096351614500097,0.08399160083991601,1.2099376404995354,16,0.24387610040767657,0.6103847219385342,0.011966312052148048,0.03699072852964248,0.008486255132034656,-0.0001293141738338189,-0.019774522126525428,0.01946041706767262,0.5070492950704929,False,-0.00012931417455462282,0.01028483949366276,0.5070492950704929,-0.012573280762845505,16,0.9901236820370497,-0.004758998120116099,-0.0003216065451660956,0.05966380231933494,0.01368781499459835,0.01482072139851906,0.0034515519491082622,0.027120400179785273,0.11118888111188881,False,0.014821806684061098,0.006291408197489979,0.11118888111188881,2.3558806262124925,16,0.03156620978880752,0.37814903871027916,0.023822027296482577,0.08222651956400875,0.01886405732939917,0.018578501188546138,0.0015316708061174076,0.03594685154594946,0.014998500149985002,True,0.01858063915419342,0.009126867052853194,0.014998500149985002,2.0358178821488186,16,0.058676321635504465,0.5560341079930351,0.018580639154193387,0.03341636580759209,0.007666240085035885,0.0024936280519609944,0.5000396225465056,0.34996500349965004,-0.007127554121480989,0.011864759668459547,False,0.0006839464410238966,0.6887400603132257,0.49976872486961094,0.46465353464653536,False,0.0019922207512358507,0.36237234358340537,0.38206179382061795,-0.008252726278880356,0.012339567585871515,False,-0.0012493411036973562,-1.217810266591102,0.23901990759433125,0.19708029197080293,False,0.0008739509647259407,0.10792973935698405,0.45065493450654937,-0.015156176367507584,0.015844556600202488,False,3.709667910974841e-05,0.029185214088248364,0.9770380326805463,0.9731026897310269,False,0.010993126881149576,1.484802896298278,0.046295370462953706,-0.0030409142187866277,0.02522289290735744,True,0.0001616933217682262,0.15153891656078625,0.8812361063994869,0.8761123887611239,False
5,5_17Networks_LH_VisCent_ExStr_5,0.011579382394135584,-0.0022553531051042073,0.02630603705313803,0.14778522147785222,False,0.011579899965064113,0.007533340829891589,0.14778522147785222,1.5371533329696383,16,0.14379479969411954,0.31212508023342744,0.019729987278350618,0.08067391878471686,0.018507866282209913,-0.007259565423731764,-0.02240142438052982,0.011352983129066744,0.7889211078892111,False,-0.007259692957252396,0.009096754517446709,0.7889211078892111,-0.7980530796262555,16,0.4365250402679172,-0.30611096144328026,-0.009826868488258103,0.0518535160207927,0.01189601243167909,0.03586109847398929,0.016953864955956213,0.05788445304504528,0.0038996100389961006,True,0.03587648302392338,0.01075066876066514,0.0038996100389961006,3.337139653598975,16,0.004179077917936983,0.9079094038661257,0.05210836511880382,0.07558697829015859,0.01734084209549495,-0.0027860971465149134,-0.020548674377551528,0.015226035421262668,0.6442355764423557,False,-0.002786104355423765,0.00958372956777418,0.6442355764423557,-0.2907119129062443,16,0.7750061133434551,-0.08757245235303271,-0.002786104355423784,0.03181484908281527,0.007298826950315233,0.009160044367977398,1.0862321567740842,0.08189181081891811,-0.007223087946673811,0.024709454930065128,False,0.0010810006022472778,1.2759267475764762,0.2182010382746914,0.37206279372062795,False,-0.00365653502219365,-0.6804198490348885,0.7233276672332767,-0.013913143907114237,0.00650174223003837,False,2.3029153206171273e-05,0.026764089924618695,0.9789423918575111,0.9781021897810219,False,0.01956398344938057,2.927244674164192,0.0023997600239976003,0.006403161357375842,0.03197312794818184,True,0.0018084242476225974,1.633490019952807,0.11973489844185879,0.08639136086391361,False,-0.004725251176109419,-0.7138015577954169,0.7194280571942806,-0.01815832942950637,0.007113157198376904,False,-0.0011844796021126716,-1.1825259812630022,0.25238258649474477,0.28587141285871415,False
6,6_17Networks_LH_VisCent_ExStr_6,0.01318760423726882,-0.008497709254016585,0.031558040205081336,0.14978502149785022,False,0.013188368815242303,0.010628235368733592,0.14978502149785022,1.2408803867893416,16,0.232536930420013,0.3890015216169277,0.016950285390435443,0.06837332838469017,0.015685917308546606,0.011989913311679352,-0.005987519814778694,0.031727381482388746,0.14258574142585742,False,0.01199048790997947,0.009916472025960408,0.14258574142585742,1.209148563984195,16,0.244170738222467,0.33512621692905853,0.018764309389825488,0.07305667226226178,0.0167603500811879,0.02346946293519436,0.006598642282810586,0.04034514686148319,0.015598440155984402,True,0.023473773476016015,0.008908604774405414,0.015598440155984402,2.6349550878558006,16,0.018013288009271464,0.6594237171439841,0.03976141750296429,0.07422510140659516,0.017028406110810895,0.005931980210120216,-0.004280450417662984,0.016171356238552214,0.18318168183181682,False,0.005932049790532089,0.005432692447236243,0.18318168183181682,1.0919171015377256,16,0.29103930326160377,0.21046531096008603,0.005932049790532097,0.028185403872361077,0.006466175113815889,0.0071346594382518435,1.065298328417015,0.14878512148785122,-0.005357416697773994,0.020131835116340296,False,-0.000542321721587591,-0.4124275331241235,0.6848966287925546,0.6675332466753324,False,0.0033693561438171483,0.5313761483857036,0.3190680931906809,-0.00867060985109813,0.015632617296881285,False,0.0005228850196167288,0.551077968266378,0.5883559385025849,0.5834416558344165,False,0.022916789902636504,2.8376333023189586,0.0005999400059994001,0.007252458308924446,0.03777959240275337,True,-0.0012792308620391427,-0.9328999049744053,0.36321755206676515,0.24327567243275672,False,0.0042119991573163,0.6837837385680037,0.27887211278872115,-0.007651084426916268,0.01586295132595472,False,0.00026006385555392165,0.20718811272919568,0.8381888057723258,0.8083191680831917,False
7,7_17Networks_LH_VisCent_ExStr_7,0.0021875705349940406,-0.013815888831533228,0.017574560150538425,0.38846115388461155,False,0.002187574024518024,0.008282727189629907,0.38846115388461155,0.26411277039969383,16,0.7950647274731374,0.06608285851310135,0.004571847854017669,0.07143350666868918,0.016387970355344995,-0.011506809628839949,-0.029845350912944275,0.0066502747491256125,0.9943005699430058,False,-0.011507317528630271,0.009435232321732196,0.9943005699430058,-1.2196114664951525,16,0.2402861487192741,-0.7556426996411394,-0.021124772916271142,0.03173613359407532,0.007280768378698978,0.03840613986361404,0.02087560972953677,0.05637492074950412,0.0082991700829917,True,0.03842504001647428,0.009351683015307526,0.0082991700829917,4.108890341297639,16,0.0008211046510522052,0.9508542438162804,0.04993061318619209,0.07953182859042948,0.018245852822141105,-0.003456219206299934,-0.023025257122368095,0.01577307340501919,0.6928307169283072,False,-0.003456232968431195,0.01004662114120145,0.6928307169283072,-0.34401943895914383,16,0.7353112877457222,-0.11469044106016396,-0.003456232968431159,0.03013531848411095,0.006913516205455418,-0.000983263725398889,-0.14394782498173941,0.5565443455654434,-0.014532750148194542,0.01199927142870321,False,0.000508058847470705,0.5145565620528939,0.6131232015751757,0.5963403659634037,False,-0.011808683128097859,-3.2030052529208843,0.9875012498750125,-0.018810679442770453,-0.004972503654604604,False,0.0008604938019904998,0.7848742410571475,0.44273555033735307,0.37336266373362664,False,0.019173539388125393,2.5127371297873378,0.0017998200179982,0.004258948266225124,0.033565464714392416,True,0.0011829029984006404,1.5115752697169156,0.14799955802190462,0.2832716728327167,False,-0.010946995585476156,-1.703252662175498,0.9493050694930507,-0.022821364935471558,0.0014080713655879264,False,0.00013387431761623903,0.13322482744536357,0.8954937013644102,0.8973102689731027,False
8,8_17Networks_LH_VisCent_ExStr_8,0.04227411075574605,0.023761691676924542,0.06075333869481641,0.0032996700329967,True,0.04229932048664477,0.009771743469576164,0.0032996700329967,4.3287383278471845,16,0.0005186651349451186,0.9489982094481885,0.06023182918702057,0.08550295418607287,0.019615722982698928,0.03775453035839028,0.010756379351694188,0.06780459609158644,0.006799320067993201,True,0.037772484209070874,0.014885187419923965,0.006799320067993201,2.5375887547450056,16,0.02194679598107816,0.8594818265034506,0.05127456145596652,0.08367360940988143,0.01919604250836669,0.03404621815840637,0.015049863431190035,0.052735518097742407,0.0065993400659934,True,0.03405938214918954,0.009896471372248214,0.0065993400659934,3.4415682992525203,16,0.0033527249652040977,0.9377090934629205,0.04518297010897989,0.07292005049423901,0.01672900689801426,-0.0009041821969163345,-0.01760651990149919,0.014305784739411374,0.5440455954404559,False,-0.0009041824433198009,0.008227671887336557,0.5440455954404559,-0.10989529671345502,16,0.9138589974944197,-0.0230216401273053,-0.0009041824433197507,0.0392753269671425,0.00901037795917326,0.0012478606537913762,0.26754663930457656,0.43585641435856415,-0.007454295070318523,0.009992962443424847,False,0.0011608468389500215,1.906175314493603,0.07272286452987926,0.1790820917908209,False,-0.00611710761618,-1.4461419998290626,0.7805219478052194,-0.013966212424469743,0.002054772531956695,False,0.000493492232597394,0.4239863555307132,0.6765994959589686,0.5288471152884712,False,0.022790077815115457,3.398467806906539,0.00029997000299970003,0.009871321241029305,0.03606032414237989,True,-0.0016190585671242656,-1.4990406416071471,0.15119719037705817,0.0598940105989401,False,0.0009070975594571936,0.250787033727984,0.44955504449555045,-0.0059651450849064,0.007749010762044737,False,0.0007116769004415979,0.6928474879184121,0.49724798967587625,0.46185381461853814,False
9,9_17Networks_LH_VisCent_ExStr_9,0.009335651414620665,-0.008164728272023875,0.027013914660714865,0.102989701029897,False,0.009335922643130531,0.009299415043814313,0.102989701029897,1.0039257952402614,16,0.33035659700693065,0.2754992045118604,0.020448664723303832,0.0702232258367466,0.016110312890095416,0.007957595461174187,-0.01050973515774157,0.025949944264245857,0.23837616238376164,False,0.007957763434692143,0.00940519361503692,0.23837616238376164,0.8461030958437005,16,0.40997148369580994,0.22480124838511586,0.012453912176405771,0.07629129031466463,0.017502422355470865,0.03369098690604894,0.022161610576269156,0.044978661669142134,0.0024997500249975004,True,0.033703742945661794,0.005981460232585692,0.0024997500249975004,5.634701500153951,16,3.7274731957793864e-05,0.9388824333377886,0.053530356306509985,0.07346860794395796,0.0168548546079117,-0.013262933272363619,-0.028814105368470594,0.001682290155668508,0.9361063893610639,False,-0.013263711028308488,0.007961197237642692,0.9361063893610639,-1.6660447709540565,16,0.1151583938551919,-0.36988516754345974,-0.013263711028308504,0.03585899677026132,0.008226618059911603,0.007370389570745522,0.9770205983923032,0.19158084191580843,-0.007384140189894734,0.021786994957468196,False,0.0007049598398214908,0.6160107446240002,0.5455992260273888,0.6265373462653735,False,0.0011088334021010973,0.17273774898507427,0.44375562443755623,-0.011010303344691313,0.01358957631596972,False,-0.0012527642245735032,-0.9400986988359327,0.35961268075980596,0.2990700929907009,False,0.013619273412354492,1.996141226673167,0.038696130386961305,0.0011420488195416534,0.0268168726820139,True,-0.0003680753280433865,-0.2538996152215937,0.8024507092686579,0.7818218178182181,False,-0.011504828077728974,-1.891486227529171,0.9217078292170783,-0.023269666067745432,6.656837913884549e-05,False,-0.0001731761953798383,-0.2318464179151746,0.8192726381505118,0.8745125487451255,False
10,10_17Networks_LH_VisCent_ExStr_10,0.028279882644743046,0.005779899018840426,0.0520148500434706,0.020397960203979604,True,0.028287425226384968,0.012008335682802993,0.020397960203979604,2.3556491068862337,16,0.03158068175654213,0.6977441395209989,0.04327959116609647,0.08528034337176396,0.019564652559366725,0.018420496355122037,7.176348611522075e-05,0.03522636979670235,0.0197980201979802,True,0.01842258022770368,0.00923965691374012,0.0197980201979802,1.9938597720341553,16,0.06349953426963985,0.7911730770811333,0.02373683607816918,0.046722946222231124,0.010718978996167944,0.07886218304384703,0.0597875401668471,0.0980631938967561,0.00029997000299970003,True,0.07902628354643175,0.010164245961721781,0.00029997000299970003,7.774928297095737,16,8.014217031127673e-07,1.460917913123643,0.10506801232945376,0.09530535045087012,0.02186454691547744,0.007015985999944848,-0.01384328797631042,0.027274635188829412,0.23217678232176783,False,0.007016101121782484,0.010887095999082826,0.23217678232176783,0.6444419266968483,16,0.5284206976008394,0.17200018428363326,0.007016101121782502,0.04079124188735014,0.00935815269307803,0.007133280751992185,1.049138943632306,0.1865813418658134,-0.005835933389231761,0.020180175193810795,False,0.0009429049897693344,0.7873108376443095,0.44134421151500314,0.42285771422857715,False,-0.0027623235174323783,-0.6968057278052321,0.6639336066393361,-0.010208038049486511,0.004956919275847882,False,-0.00010091180059699985,-0.12147695364022851,0.9046591187417116,0.9219078092190781,False,0.05976987361174542,6.60207646491991,9.999000099990002e-05,0.04304416520301261,0.07750170774570775,True,-0.002393046652378649,-1.371560589277592,0.18705651938745055,0.07239276072392761,False,0.005798449677408536,0.7599302185869403,0.24547545245475452,-0.008918794587507254,0.020380136823153965,False,0.0019851791653601055,1.96952832447784,0.06448012992892871,0.0678932106789321,False
