condition,r_story_story,r_int_int,r_story_int,reliability_ceiling,fraction_to_ceiling,rho_true,rho_true_ci_lo,rho_true_ci_hi,angle_true_deg,angle_true_ci_lo,angle_true_ci_hi
intact_pause,0.3339820423430283,0.2640047493573267,-0.24009729317001577,-0.29693912739586753,0.8085741184587221,-0.8085741184587221,-0.9415693336834426,-0.6922634415974983,143.956851963943,132.2222256808706,156.40469594533184
scram_pause,0.22826949727681023,0.20416233094220052,-0.20574913907107045,-0.21587967168549677,0.9530732442970131,-0.9530732442970131,-1.0,-0.7920513918597656,162.37776313726778,121.98498752374856,180.0
intact_tom,0.26583985539582566,0.30243832629809414,-0.16976052007766773,-0.2835492213518508,0.5986985937338024,-0.5986985937338024,-0.6983770191013325,-0.46221221293673675,126.77674803653957,116.85039592461003,133.82263833472047
