subid,cond,pmc_quad1,pmc_quad5,hipp_onset_diff,dmn_realign,recall
sub-023,scram_pause,0.001680120542006555,-0.03383890054500226,-0.22841044942381197,-0.002653658118347583,0.0583333333333333
sub-024,scram_pause,0.1516000445702736,0.1106335453370552,0.022179386231698028,0.04895233554406722,0.2083333333333333
sub-025,scram_pause,0.04680143299555307,0.06328520544566421,-0.025954438297854886,0.02216644929710233,0.1583333333333333
sub-026,intact_tom,0.1775675452852482,0.1392676911619984,0.12056831803415946,0.1081616905673092,0.225
sub-027,intact_pause,0.1418957149400715,0.1597221923848222,-0.002493996101331693,0.08272404012479569,0.2
sub-031,scram_pause,0.08663572309927657,0.0935935964374136,-0.035162294558245585,0.03280555440361198,0.1291666666666666
sub-032,intact_tom,0.1044366510985328,0.1196464411908461,0.12478149325840153,0.05188326682573574,0.3458333333333333
sub-034,intact_tom,0.08975930937901931,0.1066844845913429,0.15422192728644177,0.07768422885717144,0.3666666666666666
sub-036,intact_tom,0.1030210887130797,0.04903291301005447,0.01933788453198322,0.07126163153326096,0.2541666666666666
sub-037,intact_pause,0.1695701878666864,0.1294827588516459,0.23715593285744696,0.06000136984913806,0.2708333333333333
sub-038,intact_tom,0.03433766100614494,0.06123177581466938,-0.20422894977930336,-0.0095795131480631,0.0916666666666666
sub-039,intact_pause,0.1810845268405736,0.1423174405084086,0.07981638024253246,0.08530497861667798,0.2666666666666666
sub-041,scram_pause,0.02301271663155006,0.005983373950559425,0.0578453186841457,0.01034085692171826,0.1666666666666666
sub-042,scram_pause,0.05553814573244455,0.07843575096018973,0.06598751353215587,0.05443712291260312,0.2041666666666666
sub-043,scram_pause,0.02932020854656121,0.08829508054406787,0.16869643155735234,0.06915774985350279,0.2875
sub-045,intact_pause,0.1839977758318871,0.1371568772297201,0.3267536957150186,0.05651894984688749,0.3125
sub-046,intact_pause,0.05246828887077759,0.02962934525811252,0.05693873088134645,0.02483009966113836,0.1166666666666666
sub-047,scram_pause,0.04779097306341912,0.0983877837840458,-0.17914697919465414,0.06357525962290629,0.0583333333333333
sub-048,intact_tom,0.08650416148025478,0.06997826218748589,0.03332933611065337,0.09600706543351592,0.1208333333333333
sub-049,intact_tom,0.08550236096597465,0.08708579831562109,0.18805728649027334,0.08363562313425212,0.1916666666666666
sub-050,scram_pause,0.1227205275688725,0.1171069896093375,0.040200651173129154,0.062572704978465,0.1083333333333333
sub-051,scram_pause,0.08715424745410302,0.1194059890512248,-0.0597604402841835,0.07272192062679443,0.1
sub-052,scram_pause,0.1390299853591885,0.1268086479480325,0.06392144592838393,0.0813439841002857,0.1333333333333333
sub-053,scram_pause,0.0662132905197738,0.07177747491267684,0.09295214004516926,0.06902505005559315,0.1958333333333333
sub-055,intact_pause,0.08963412486079009,0.09938304671427263,0.028565798252059627,0.0619569472246627,0.2416666666666666
sub-057,intact_tom,0.1024864145009513,0.06467630900943071,-0.14809101467006935,0.02367590424924364,0.1458333333333333
sub-058,intact_tom,0.07156851556749323,0.06683888492778355,-0.04816652511352543,0.01501940067989103,0.1291666666666666
sub-059,intact_tom,0.1032871397709215,0.09845999332926827,-0.1104062737216451,0.07206593675253077,0.1791666666666666
sub-060,intact_tom,0.07382537677214002,0.1127525317302259,0.07587025855455268,0.04448973282412026,0.0583333333333333
sub-061,intact_tom,0.01165690815647606,0.0831178256112407,0.01612780896246091,0.02645833016690171,0.1541666666666666
sub-062,intact_tom,0.1548728594140973,0.1274660485288758,0.09258803192728167,0.05267562009167223,
sub-063,intact_pause,0.1574956461692409,0.1345270082059998,0.1428076528113602,0.0757070728980766,0.4875
sub-065,intact_pause,0.1092303105443966,0.07849233396726911,0.09819110501980612,0.05408136056983661,0.2541666666666666
sub-067,scram_pause,0.06557616383876545,0.07263679287663755,-0.11575641326751016,0.05433088585838539,0.1125
sub-068,scram_pause,0.07680242340108175,0.02415654644812075,0.05354018454817209,0.04605276228169012,0.1125
sub-069,intact_pause,0.1630819422637878,0.08911209235552311,0.040589320480611944,0.01239729284587846,0.2375
sub-070,intact_pause,0.1466146723152063,0.1408958176592384,-0.19810254604508232,0.008174657490643035,0.3208333333333333
sub-072,intact_pause,0.03541420833472547,0.01788818073958809,0.0505880077100976,0.01947820781614912,0.1666666666666666
sub-073,intact_pause,0.1033596029384685,0.1234861504187687,0.1833532655113644,0.07545224405797099,0.1666666666666666
sub-075,intact_tom,0.05648929281410463,0.0859866135905719,-0.124593985182276,0.05525819302774433,0.2
sub-082,scram_pause,-0.001552952869017244,0.003181148016961396,0.08469613324770607,0.02381582122800111,0.125
sub-086,intact_pause,0.1321226444435991,0.07265441335762009,0.15805446433019665,0.06983999506543188,0.1166666666666666
sub-088,intact_pause,0.09803743901526772,0.1265658057478666,-0.05829801959608387,0.04890724385519002,0.3541666666666667
sub-089,intact_pause,0.1874962109794589,0.1731357827106507,0.2095240737298165,0.0573075506665976,0.2666666666666666
sub-090,intact_pause,0.09124931675928363,0.1167313502328679,0.18353159864506471,0.002095090181280622,0.2375
sub-091,intact_tom,0.1243946906694088,0.1192512290914141,0.13995566123326722,0.08588258298803747,0.2166666666666666
sub-092,intact_tom,0.08000831990277142,0.09022951453911478,0.009976530649753249,0.1138312134359789,0.1958333333333333
sub-093,intact_tom,0.08315653659131517,0.08904719503975729,0.040694620222027966,0.04727312876223472,0.2333333333333333
sub-095,intact_tom,0.0152716310079366,0.06461505809518664,-0.05499335966104687,0.05167734176323856,0.1708333333333333
sub-096,scram_pause,0.113145226475991,0.01051712657852289,0.07032796722850754,0.01327746172187626,
sub-097,scram_pause,0.03553978666446823,0.03156371961562192,0.08497606676493889,0.01309973185677104,0.1208333333333333
sub-098,scram_pause,0.07980059229305683,0.07597997206646576,0.18067874988738117,0.07423460326495426,0.1583333333333333
sub-099,intact_pause,0.1461792443348845,0.06487690252897786,0.17619415429255844,0.03037015347680911,0.2458333333333333
sub-100,intact_pause,0.1241520679156115,0.0930148935917461,0.09975208896721617,0.03893350203254423,0.3791666666666666
sub-101,intact_tom,0.1339210797276273,0.1207612355431714,0.13815092001831963,0.06147927080885229,0.375
sub-102,scram_pause,0.08584042994568397,0.129764089571328,0.06088597139932976,0.06154434360959846,0.1416666666666666
sub-103,intact_pause,0.0485776919036096,0.01432873006988264,0.14063122696727928,0.01516787891493093,0.1625
