subid,cond,pmc_full,pmc_diag,pmc_ge1,pmc_ge2,pmc_ge3,pmc_ge4,pmc_ge5,pmc_ge6,pmc_ge7,pmc_ge8,pmc_ge9
sub-027,intact_pause,0.1597221923848222,0.17958482673269086,0.15751523301283682,0.1521183415542863,0.14513777762387042,0.13696902272786857,0.12459337827212924,0.11244333563089877,0.09733081641280449,0.07962430061081074,0.05413810481475475
sub-037,intact_pause,0.12948275885164592,0.13012087325779895,0.12941185725096221,0.12869843897869815,0.12841036557280158,0.12781797612921508,0.1279925149121842,0.12920089208284583,0.12567722418641772,0.12082604495029156,0.11487640269829368
sub-039,intact_pause,0.14231744050840864,0.18329860075522492,0.13776397825876238,0.12776419304285894,0.11466552006985575,0.10274169409567423,0.092435662283971,0.08540283906878257,0.07819857441835638,0.07507599634732505,0.07236037504071703
sub-045,intact_pause,0.13715687722972014,0.1649500768099418,0.13406874394302887,0.12862790137691993,0.12364353551971936,0.11868225819443853,0.11147517703840354,0.10218218131463748,0.09297386491979846,0.07527699989764582,0.054685695212270714
sub-046,intact_pause,0.029629345258112522,0.021258635765327206,0.030559424090644226,0.033126761150253675,0.03673277291172568,0.04118073042988416,0.04786358059626363,0.05824751497896236,0.06204097165740271,0.0548045651490634,0.0495430024403693
sub-055,intact_pause,0.09938304671427263,0.12212070117704366,0.09685664066285363,0.08912425246851209,0.08081579683592979,0.0712030405527693,0.06102941973937416,0.0528408970681685,0.04377308495192767,0.02803753543236273,0.019533097174257726
sub-063,intact_pause,0.1345270082059998,0.12850192645615438,0.13519646173376043,0.13445844670901524,0.13336014780495006,0.1323721261323918,0.12921247012469642,0.12859322349075644,0.12556134870542165,0.12317651134192695,0.12376709268850442
sub-065,intact_pause,0.07849233396726911,0.0902238072343281,0.07718883693759589,0.07470831000511627,0.07212454894032075,0.07165457725065993,0.06989918164592983,0.07232177058130754,0.06733711923289364,0.06465332530057928,0.06794992909295461
sub-069,intact_pause,0.08911209235552311,0.10631854760126902,0.08720026399488467,0.08429216006575023,0.08367678863879294,0.08523957903156396,0.08554486854152984,0.0855577436556691,0.07881241908409946,0.06736285566450427,0.053260324454858836
sub-070,intact_pause,0.1408958176592384,0.1565015642799159,0.13916184581249644,0.13257459353327042,0.12282235053254394,0.11176146485344376,0.10012658297287422,0.08587027755799785,0.06793747041457156,0.04810981584793668,0.025545781486736766
sub-072,intact_pause,0.01788818073958809,0.011135450665632225,0.018638484081138745,0.019462962733304473,0.02109535575719556,0.026295791444382127,0.025914147790695986,0.019974586917994207,0.00731098417210278,-0.005990468302380081,-0.0057775186141217705
sub-073,intact_pause,0.12348615041876873,0.15625664926199,0.11984498388063305,0.11262012069017513,0.10417239514103416,0.09548880455011648,0.08475343298565322,0.06494453922007938,0.04004299572444506,0.01294681114454836,-0.003597966435572021
sub-086,intact_pause,0.07265441335762009,0.07778423520240713,0.07208443315264376,0.07137213732868594,0.07001639685319588,0.06980060226541848,0.0750670127525812,0.0848641695846865,0.09707323399622848,0.09999377292391165,0.12032440633241659
sub-088,intact_pause,0.12656580574786658,0.14195648296825597,0.12485573050115667,0.11972705451477106,0.11258896925968091,0.10546605843068792,0.0987716217982048,0.09432566229321301,0.08083784982200322,0.06332853824332299,0.03243862243559024
sub-089,intact_pause,0.17313578271065067,0.20230584861328624,0.16989466427702446,0.1601643632627147,0.14680662017978774,0.1315404508081806,0.11528484549743293,0.09888494769424824,0.08165683058722092,0.06058795844200155,0.021399634662536943
sub-090,intact_pause,0.11673135023286792,0.1323330953948863,0.11499782299264369,0.11096495594935273,0.11052810676606371,0.11303979201891012,0.11322296075008435,0.11477079159866134,0.11894526423936652,0.12335560108062078,0.12139829437963373
sub-099,intact_pause,0.06487690252897786,0.08799080619731983,0.06230869101027319,0.05473822806847683,0.04469748252536497,0.03282130935758439,0.017123780634669857,0.0016846758191241891,-0.021300360338519037,-0.033619228772856787,-0.030126128333941578
sub-100,intact_pause,0.0930148935917461,0.09339232624630836,0.09297295663012807,0.09105178944438302,0.09172458504741436,0.09388728761396041,0.0945387188519892,0.09594187466263866,0.090536992950777,0.07678843192873969,0.06089309140819187
sub-103,intact_pause,0.014328730069882643,0.029670992126358108,0.012624034285829809,0.009163109912394982,0.007497836108925571,0.006826654689640955,0.0028688998857284887,-0.0023788728324865525,-0.0011996995182082166,0.012258999081992773,0.020644254728916706
