parcel_id,full_label,hemisphere,network,subregion,x_mni,y_mni,z_mni
65,17Networks_LH_DorsAttnA_ParOcc_2,LH,DorsAttnA,ParOcc,-31.8,-84.1,27.0
66,17Networks_LH_DorsAttnA_SPL_1,LH,DorsAttnA,SPL,-26.4,-70.1,30.4
67,17Networks_LH_DorsAttnA_SPL_2,LH,DorsAttnA,SPL,-21.2,-78.6,44.7
68,17Networks_LH_DorsAttnA_SPL_3,LH,DorsAttnA,SPL,-22.7,-65.5,46.4
69,17Networks_LH_DorsAttnA_SPL_4,LH,DorsAttnA,SPL,-28.7,-58.0,50.6
70,17Networks_LH_DorsAttnA_SPL_5,LH,DorsAttnA,SPL,-35.9,-51.8,56.0
71,17Networks_LH_DorsAttnA_SPL_6,LH,DorsAttnA,SPL,-14.9,-71.1,57.0
72,17Networks_LH_DorsAttnA_SPL_7,LH,DorsAttnA,SPL,-28.2,-61.2,62.3
73,17Networks_LH_DorsAttnB_PostC_1,LH,DorsAttnB,PostC,-61.4,-23.3,32.8
74,17Networks_LH_DorsAttnB_PostC_2,LH,DorsAttnB,PostC,-54.8,-19.8,40.7
75,17Networks_LH_DorsAttnB_PostC_3,LH,DorsAttnB,PostC,-54.8,-31.3,44.4
76,17Networks_LH_DorsAttnB_PostC_4,LH,DorsAttnB,PostC,-46.2,-29.1,43.8
77,17Networks_LH_DorsAttnB_PostC_5,LH,DorsAttnB,PostC,-39.0,-37.5,49.8
78,17Networks_LH_DorsAttnB_PostC_6,LH,DorsAttnB,PostC,-30.2,-46.3,62.7
79,17Networks_LH_DorsAttnB_PostC_7,LH,DorsAttnB,PostC,-7.4,-58.5,63.1
80,17Networks_LH_DorsAttnB_PostC_8,LH,DorsAttnB,PostC,-19.7,-56.5,66.3
81,17Networks_LH_DorsAttnB_PostC_9,LH,DorsAttnB,PostC,-12.9,-50.6,71.6
82,17Networks_LH_DorsAttnB_FEF_1,LH,DorsAttnB,FEF,-40.3,-2.3,51.3
83,17Networks_LH_DorsAttnB_FEF_2,LH,DorsAttnB,FEF,-25.7,-0.5,55.2
84,17Networks_LH_DorsAttnB_FEF_3,LH,DorsAttnB,FEF,-30.0,-8.0,51.7
85,17Networks_LH_DorsAttnB_PrCv_1,LH,DorsAttnB,PrCv,-50.0,2.6,38.0
86,17Networks_LH_SalVentAttnA_ParOper_1,LH,SalVentAttnA,ParOper,-54.6,-32.0,22.2
87,17Networks_LH_SalVentAttnA_ParOper_2,LH,SalVentAttnA,ParOper,-58.0,-44.2,27.3
88,17Networks_LH_SalVentAttnA_ParOper_3,LH,SalVentAttnA,ParOper,-61.2,-36.1,33.3
89,17Networks_LH_SalVentAttnA_Ins_1,LH,SalVentAttnA,Ins,-38.7,1.9,-4.6
90,17Networks_LH_SalVentAttnA_Ins_2,LH,SalVentAttnA,Ins,-39.8,-14.4,-1.7
91,17Networks_LH_SalVentAttnA_Ins_3,LH,SalVentAttnA,Ins,-33.0,19.2,8.2
92,17Networks_LH_SalVentAttnA_Ins_4,LH,SalVentAttnA,Ins,-36.5,4.4,10.7
93,17Networks_LH_SalVentAttnA_FrOper_1,LH,SalVentAttnA,FrOper,-50.5,1.5,4.4
94,17Networks_LH_SalVentAttnA_FrOper_2,LH,SalVentAttnA,FrOper,-52.1,8.7,13.3
95,17Networks_LH_SalVentAttnA_ParMed_1,LH,SalVentAttnA,ParMed,-11.0,-27.4,41.1
96,17Networks_LH_SalVentAttnA_ParMed_2,LH,SalVentAttnA,ParMed,-12.6,-41.5,47.3
97,17Networks_LH_SalVentAttnA_ParMed_3,LH,SalVentAttnA,ParMed,-5.8,-49.1,57.0
98,17Networks_LH_SalVentAttnA_FrMed_1,LH,SalVentAttnA,FrMed,-6.5,0.8,40.5
99,17Networks_LH_SalVentAttnA_FrMed_2,LH,SalVentAttnA,FrMed,-5.3,9.3,48.4
100,17Networks_LH_SalVentAttnA_FrMed_3,LH,SalVentAttnA,FrMed,-8.5,-2.7,70.9
101,17Networks_LH_SalVentAttnB_PFCl_1,LH,SalVentAttnB,PFCl,-38.2,49.1,11.0
102,17Networks_LH_SalVentAttnB_PFCl_2,LH,SalVentAttnB,PFCl,-28.9,43.3,29.5
103,17Networks_LH_SalVentAttnB_PFCl_3,LH,SalVentAttnB,PFCl,-35.9,32.0,38.5
104,17Networks_LH_SalVentAttnB_Ins_1,LH,SalVentAttnB,Ins,-33.4,16.5,-8.3
105,17Networks_LH_SalVentAttnB_Ins_2,LH,SalVentAttnB,Ins,-32.9,24.6,-0.8
106,17Networks_LH_SalVentAttnB_Ins_3,LH,SalVentAttnB,Ins,-43.3,11.9,2.3
107,17Networks_LH_SalVentAttnB_OFC_1,LH,SalVentAttnB,OFC,-27.1,49.3,-13.7
108,17Networks_LH_SalVentAttnB_PFCmp_1,LH,SalVentAttnB,PFCmp,-6.0,21.8,31.1
109,17Networks_LH_LimbicB_OFC_1,LH,LimbicB,OFC,-12.4,24.3,-20.5
110,17Networks_LH_LimbicB_OFC_2,LH,LimbicB,OFC,-23.6,22.4,-19.7
111,17Networks_LH_LimbicB_OFC_3,LH,LimbicB,OFC,-10.6,47.3,-21.3
112,17Networks_LH_LimbicB_OFC_4,LH,LimbicB,OFC,-3.9,23.3,-18.9
113,17Networks_LH_LimbicB_OFC_5,LH,LimbicB,OFC,-15.4,64.3,-8.5
114,17Networks_LH_LimbicA_TempPole_1,LH,LimbicA,TempPole,-37.4,-5.5,-42.3
115,17Networks_LH_LimbicA_TempPole_2,LH,LimbicA,TempPole,-25.1,5.8,-38.3
116,17Networks_LH_LimbicA_TempPole_3,LH,LimbicA,TempPole,-25.6,-9.0,-32.6
117,17Networks_LH_LimbicA_TempPole_4,LH,LimbicA,TempPole,-53.8,-21.4,-31.4
118,17Networks_LH_LimbicA_TempPole_5,LH,LimbicA,TempPole,-40.1,-21.8,-26.6
119,17Networks_LH_LimbicA_TempPole_6,LH,LimbicA,TempPole,-31.5,11.5,-29.4
120,17Networks_LH_LimbicA_TempPole_7,LH,LimbicA,TempPole,-44.2,5.3,-16.2
121,17Networks_LH_ContA_Temp_1,LH,ContA,Temp,-55.1,-61.7,-0.7
122,17Networks_LH_ContA_IPS_1,LH,ContA,IPS,-28.8,-74.2,42.3
123,17Networks_LH_ContA_IPS_2,LH,ContA,IPS,-58.3,-41.6,45.6
124,17Networks_LH_ContA_IPS_3,LH,ContA,IPS,-34.4,-62.1,47.9
125,17Networks_LH_ContA_IPS_4,LH,ContA,IPS,-45.0,-41.3,46.7
126,17Networks_LH_ContA_IPS_5,LH,ContA,IPS,-33.1,-46.5,40.9
127,17Networks_LH_ContA_PFCd_1,LH,ContA,PFCd,-21.2,5.1,64.0
128,17Networks_LH_ContA_PFClv_1,LH,ContA,PFClv,-47.9,35.1,10.5
129,17Networks_LH_ContA_PFClv_2,LH,ContA,PFClv,-41.6,37.7,21.9
130,17Networks_LH_ContA_PFCl_1,LH,ContA,PFCl,-49.4,6.0,25.6
131,17Networks_LH_ContA_PFCl_2,LH,ContA,PFCl,-44.4,20.2,27.2
132,17Networks_LH_ContA_PFCl_3,LH,ContA,PFCl,-39.2,7.4,33.5
133,17Networks_LH_ContA_Cingm_1,LH,ContA,Cingm,-3.3,6.4,28.5
134,17Networks_LH_ContB_Temp_1,LH,ContB,Temp,-60.2,-36.4,-18.1
135,17Networks_LH_ContB_Temp_2,LH,ContB,Temp,-60.5,-48.9,-9.7
136,17Networks_LH_ContB_IPL_1,LH,ContB,IPL,-48.9,-59.5,46.9
137,17Networks_LH_ContB_IPL_2,LH,ContB,IPL,-53.2,-49.6,44.8
138,17Networks_LH_ContB_IPL_3,LH,ContB,IPL,-42.1,-52.2,48.6
139,17Networks_LH_ContB_PFCd_1,LH,ContB,PFCd,-29.9,13.6,57.2
140,17Networks_LH_ContB_PFClv_1,LH,ContB,PFClv,-41.9,49.1,-6.5
141,17Networks_LH_ContB_PFClv_2,LH,ContB,PFClv,-28.0,58.4,-0.7
142,17Networks_LH_ContB_PFClv_3,LH,ContB,PFClv,-27.6,56.8,13.0
143,17Networks_LH_ContB_PFCmp_1,LH,ContB,PFCmp,-3.7,28.1,47.1
144,17Networks_LH_ContC_pCun_1,LH,ContC,pCun,-10.3,-69.6,31.3
145,17Networks_LH_ContC_pCun_2,LH,ContC,pCun,-9.1,-77.1,45.3
146,17Networks_LH_ContC_pCun_3,LH,ContC,pCun,-5.0,-63.8,52.0
147,17Networks_LH_ContC_Cingp_1,LH,ContC,Cingp,-5.7,-40.6,23.3
148,17Networks_LH_ContC_Cingp_2,LH,ContC,Cingp,-4.1,-21.7,28.9
149,17Networks_LH_DefaultA_IPL_1,LH,DefaultA,IPL,-47.3,-63.6,31.3
150,17Networks_LH_DefaultA_IPL_2,LH,DefaultA,IPL,-41.4,-72.0,43.3
151,17Networks_LH_DefaultA_PFCd_1,LH,DefaultA,PFCd,-24.8,28.3,43.5
152,17Networks_LH_DefaultA_PFCd_2,LH,DefaultA,PFCd,-18.4,35.8,48.1
153,17Networks_LH_DefaultA_PFCd_3,LH,DefaultA,PFCd,-22.4,19.4,51.8
154,17Networks_LH_DefaultA_pCunPCC_1,LH,DefaultA,pCunPCC,-4.2,-53.4,20.2
155,17Networks_LH_DefaultA_pCunPCC_2,LH,DefaultA,pCunPCC,-5.3,-60.2,30.1
156,17Networks_LH_DefaultA_pCunPCC_3,LH,DefaultA,pCunPCC,-7.4,-44.3,32.0
157,17Networks_LH_DefaultA_pCunPCC_4,LH,DefaultA,pCunPCC,-4.0,-33.9,37.8
158,17Networks_LH_DefaultA_pCunPCC_5,LH,DefaultA,pCunPCC,-2.6,-15.5,37.0
159,17Networks_LH_DefaultA_pCunPCC_6,LH,DefaultA,pCunPCC,-3.0,-68.2,41.2
160,17Networks_LH_DefaultA_pCunPCC_7,LH,DefaultA,pCunPCC,-6.7,-50.9,42.8
161,17Networks_LH_DefaultA_PFCm_1,LH,DefaultA,PFCm,-4.7,55.1,-10.1
162,17Networks_LH_DefaultA_PFCm_2,LH,DefaultA,PFCm,-5.9,34.9,-8.8
163,17Networks_LH_DefaultA_PFCm_3,LH,DefaultA,PFCm,-6.4,59.2,6.5
164,17Networks_LH_DefaultA_PFCm_4,LH,DefaultA,PFCm,-6.1,44.7,5.9
165,17Networks_LH_DefaultA_PFCm_5,LH,DefaultA,PFCm,-16.1,67.0,8.4
166,17Networks_LH_DefaultA_PFCm_6,LH,DefaultA,PFCm,-5.4,33.7,20.4
167,17Networks_LH_DefaultB_Temp_1,LH,DefaultB,Temp,-43.3,12.9,-33.3
168,17Networks_LH_DefaultB_Temp_2,LH,DefaultB,Temp,-53.9,-1.6,-29.3
169,17Networks_LH_DefaultB_Temp_3,LH,DefaultB,Temp,-61.5,-17.6,-20.5
170,17Networks_LH_DefaultB_Temp_4,LH,DefaultB,Temp,-57.0,-8.9,-13.9
171,17Networks_LH_DefaultB_Temp_5,LH,DefaultB,Temp,-60.6,-34.7,-3.2
172,17Networks_LH_DefaultB_Temp_6,LH,DefaultB,Temp,-52.4,-22.6,-5.2
173,17Networks_LH_DefaultB_IPL_1,LH,DefaultB,IPL,-45.7,-59.0,21.1
174,17Networks_LH_DefaultB_IPL_2,LH,DefaultB,IPL,-56.5,-54.6,29.7
175,17Networks_LH_DefaultB_PFCd_1,LH,DefaultB,PFCd,-4.2,51.4,27.9
176,17Networks_LH_DefaultB_PFCd_2,LH,DefaultB,PFCd,-13.8,57.5,30.9
177,17Networks_LH_DefaultB_PFCd_3,LH,DefaultB,PFCd,-21.9,50.2,31.3
178,17Networks_LH_DefaultB_PFCd_4,LH,DefaultB,PFCd,-7.9,42.7,51.2
179,17Networks_LH_DefaultB_PFCd_5,LH,DefaultB,PFCd,-12.5,24.2,61.1
180,17Networks_LH_DefaultB_PFCd_6,LH,DefaultB,PFCd,-6.5,10.4,64.4
181,17Networks_LH_DefaultB_PFCl_1,LH,DefaultB,PFCl,-41.3,19.0,47.8
182,17Networks_LH_DefaultB_PFCl_2,LH,DefaultB,PFCl,-41.6,7.1,48.6
183,17Networks_LH_DefaultB_PFCv_1,LH,DefaultB,PFCv,-35.6,22.3,-15.5
184,17Networks_LH_DefaultB_PFCv_2,LH,DefaultB,PFCv,-35.9,36.9,-13.0
185,17Networks_LH_DefaultB_PFCv_3,LH,DefaultB,PFCv,-46.2,31.6,-10.3
186,17Networks_LH_DefaultB_PFCv_4,LH,DefaultB,PFCv,-47.7,28.3,0.5
187,17Networks_LH_DefaultB_PFCv_5,LH,DefaultB,PFCv,-53.0,19.2,11.5
188,17Networks_LH_DefaultC_IPL_1,LH,DefaultC,IPL,-40.4,-78.5,30.2
189,17Networks_LH_DefaultC_Rsp_1,LH,DefaultC,Rsp,-13.5,-48.9,4.0
190,17Networks_LH_DefaultC_Rsp_2,LH,DefaultC,Rsp,-8.0,-51.9,9.2
191,17Networks_LH_DefaultC_Rsp_3,LH,DefaultC,Rsp,-13.0,-60.7,18.6
192,17Networks_LH_DefaultC_PHC_1,LH,DefaultC,PHC,-21.0,-20.7,-25.6
193,17Networks_LH_DefaultC_PHC_2,LH,DefaultC,PHC,-30.1,-32.6,-18.0
194,17Networks_LH_DefaultC_PHC_3,LH,DefaultC,PHC,-18.6,-37.3,-11.8
195,17Networks_LH_TempPar_1,LH,TempPar,,-52.8,6.2,-11.6
196,17Networks_LH_TempPar_2,LH,TempPar,,-60.5,-12.6,-2.7
197,17Networks_LH_TempPar_3,LH,TempPar,,-61.7,-31.9,5.0
198,17Networks_LH_TempPar_4,LH,TempPar,,-52.6,-43.0,5.1
199,17Networks_LH_TempPar_5,LH,TempPar,,-56.6,-53.7,10.0
200,17Networks_LH_TempPar_6,LH,TempPar,,-58.5,-49.0,16.2
201,17Networks_RH_VisCent_ExStr_1,RH,VisCent,ExStr,35.4,-53.7,-17.3
202,17Networks_RH_VisCent_ExStr_2,RH,VisCent,ExStr,37.1,-73.3,-15.4
203,17Networks_RH_VisCent_ExStr_3,RH,VisCent,ExStr,23.1,-73.6,-10.7
204,17Networks_RH_VisCent_ExStr_4,RH,VisCent,ExStr,19.3,-88.0,-12.5
205,17Networks_RH_VisCent_ExStr_5,RH,VisCent,ExStr,42.3,-83.6,-12.2
206,17Networks_RH_VisCent_ExStr_6,RH,VisCent,ExStr,25.2,-96.5,-9.9
207,17Networks_RH_VisCent_Striate_1,RH,VisCent,Striate,8.4,-92.1,-1.6
208,17Networks_RH_VisCent_ExStr_7,RH,VisCent,ExStr,35.4,-88.7,2.1
209,17Networks_RH_VisCent_ExStr_8,RH,VisCent,ExStr,23.6,-98.8,7.4
210,17Networks_RH_VisCent_ExStr_9,RH,VisCent,ExStr,43.8,-78.8,10.4
211,17Networks_RH_VisCent_ExStr_10,RH,VisCent,ExStr,12.7,-94.1,18.8
212,17Networks_RH_VisCent_ExStr_11,RH,VisCent,ExStr,27.1,-87.1,20.7
213,17Networks_RH_VisPeri_ExStrInf_1,RH,VisPeri,ExStrInf,26.1,-51.9,-8.8
214,17Networks_RH_VisPeri_ExStrInf_2,RH,VisPeri,ExStrInf,18.2,-35.9,-12.5
215,17Networks_RH_VisPeri_ExStrInf_3,RH,VisPeri,ExStrInf,9.2,-72.2,-4.8
216,17Networks_RH_VisPeri_ExStrInf_4,RH,VisPeri,ExStrInf,12.9,-57.4,-3.4
217,17Networks_RH_VisPeri_ExStrInf_5,RH,VisPeri,ExStrInf,17.9,-44.7,-2.7
218,17Networks_RH_VisPeri_StriCal_1,RH,VisPeri,StriCal,9.0,-73.4,8.3
219,17Networks_RH_VisPeri_StriCal_2,RH,VisPeri,StriCal,21.6,-59.5,5.8
220,17Networks_RH_VisPeri_ExStrSup_1,RH,VisPeri,ExStrSup,15.8,-66.0,18.8
221,17Networks_RH_VisPeri_ExStrSup_2,RH,VisPeri,ExStrSup,5.0,-80.0,23.3
222,17Networks_RH_VisPeri_ExStrSup_3,RH,VisPeri,ExStrSup,14.3,-77.4,33.7
223,17Networks_RH_VisPeri_ExStrSup_4,RH,VisPeri,ExStrSup,16.2,-86.8,36.6
224,17Networks_RH_SomMotA_1,RH,SomMotA,,54.6,-16.8,40.2
225,17Networks_RH_SomMotA_2,RH,SomMotA,,52.3,-12.8,49.2
226,17Networks_RH_SomMotA_3,RH,SomMotA,,44.1,-10.8,48.2
227,17Networks_RH_SomMotA_4,RH,SomMotA,,49.1,-25.5,55.8
228,17Networks_RH_SomMotA_5,RH,SomMotA,,6.9,-10.0,51.3
229,17Networks_RH_SomMotA_6,RH,SomMotA,,42.4,-21.1,54.7
230,17Networks_RH_SomMotA_7,RH,SomMotA,,36.4,-18.2,63.3
231,17Networks_RH_SomMotA_8,RH,SomMotA,,32.4,-34.1,63.1
