parcel_id,full_label,hemisphere,network,subregion,x_mni,y_mni,z_mni
281,17Networks_RH_DorsAttnB_PostC_8,RH,DorsAttnB,PostC,16.1,-46.7,73.7
282,17Networks_RH_DorsAttnB_FEF_1,RH,DorsAttnB,FEF,39.5,-3.1,52.9
283,17Networks_RH_DorsAttnB_FEF_2,RH,DorsAttnB,FEF,27.6,-3.6,52.2
284,17Networks_RH_DorsAttnB_FEF_3,RH,DorsAttnB,FEF,24.8,-3.1,63.8
285,17Networks_RH_SalVentAttnA_ParOper_1,RH,SalVentAttnA,ParOper,57.9,-30.9,24.3
286,17Networks_RH_SalVentAttnA_ParOper_2,RH,SalVentAttnA,ParOper,60.4,-21.9,22.5
287,17Networks_RH_SalVentAttnA_ParOper_3,RH,SalVentAttnA,ParOper,62.6,-25.8,38.0
288,17Networks_RH_SalVentAttnA_PrC_1,RH,SalVentAttnA,PrC,51.0,3.4,40.8
289,17Networks_RH_SalVentAttnA_Ins_1,RH,SalVentAttnA,Ins,40.5,5.0,-15.5
290,17Networks_RH_SalVentAttnA_Ins_2,RH,SalVentAttnA,Ins,40.5,8.7,-2.8
291,17Networks_RH_SalVentAttnA_Ins_3,RH,SalVentAttnA,Ins,40.2,-10.6,-4.2
292,17Networks_RH_SalVentAttnA_Ins_4,RH,SalVentAttnA,Ins,39.2,-1.5,5.5
293,17Networks_RH_SalVentAttnA_FrOper_1,RH,SalVentAttnA,FrOper,38.4,7.0,10.5
294,17Networks_RH_SalVentAttnA_FrOper_2,RH,SalVentAttnA,FrOper,49.5,4.9,3.6
295,17Networks_RH_SalVentAttnA_FrOper_3,RH,SalVentAttnA,FrOper,53.8,11.9,11.7
296,17Networks_RH_SalVentAttnA_FrMed_1,RH,SalVentAttnA,FrMed,7.6,2.3,43.2
297,17Networks_RH_SalVentAttnA_ParMed_1,RH,SalVentAttnA,ParMed,11.1,-17.0,41.3
298,17Networks_RH_SalVentAttnA_ParMed_2,RH,SalVentAttnA,ParMed,11.4,-33.5,42.5
299,17Networks_RH_SalVentAttnA_FrMed_2,RH,SalVentAttnA,FrMed,5.7,10.6,57.5
300,17Networks_RH_SalVentAttnA_ParMed_3,RH,SalVentAttnA,ParMed,10.2,-43.2,53.4
301,17Networks_RH_SalVentAttnA_ParMed_4,RH,SalVentAttnA,ParMed,10.6,-32.3,50.6
302,17Networks_RH_SalVentAttnA_FrMed_3,RH,SalVentAttnA,FrMed,6.8,-1.6,66.6
303,17Networks_RH_SalVentAttnA_FrMed_4,RH,SalVentAttnA,FrMed,16.2,6.6,69.3
304,17Networks_RH_SalVentAttnB_IPL_1,RH,SalVentAttnB,IPL,62.1,-37.4,37.0
305,17Networks_RH_SalVentAttnB_PFClv_1,RH,SalVentAttnB,PFClv,49.0,39.9,5.0
306,17Networks_RH_SalVentAttnB_PFCl_1,RH,SalVentAttnB,PFCl,41.7,45.9,14.3
307,17Networks_RH_SalVentAttnB_PFCl_2,RH,SalVentAttnB,PFCl,25.3,54.1,24.8
308,17Networks_RH_SalVentAttnB_PFCl_3,RH,SalVentAttnB,PFCl,32.4,44.7,28.4
309,17Networks_RH_SalVentAttnB_Ins_1,RH,SalVentAttnB,Ins,33.9,21.1,-7.7
310,17Networks_RH_SalVentAttnB_Ins_2,RH,SalVentAttnB,Ins,37.2,22.6,4.7
311,17Networks_RH_SalVentAttnB_PFCmp_1,RH,SalVentAttnB,PFCmp,7.5,34.9,25.2
312,17Networks_RH_SalVentAttnB_PFCmp_2,RH,SalVentAttnB,PFCmp,7.3,18.6,35.5
313,17Networks_RH_LimbicB_OFC_1,RH,LimbicB,OFC,13.2,23.3,-20.5
314,17Networks_RH_LimbicB_OFC_2,RH,LimbicB,OFC,23.1,22.3,-20.3
315,17Networks_RH_LimbicB_OFC_3,RH,LimbicB,OFC,7.8,46.8,-23.3
316,17Networks_RH_LimbicB_OFC_4,RH,LimbicB,OFC,20.0,43.0,-18.2
317,17Networks_RH_LimbicB_OFC_5,RH,LimbicB,OFC,4.8,21.8,-20.6
318,17Networks_RH_LimbicB_OFC_6,RH,LimbicB,OFC,9.4,62.6,-14.4
319,17Networks_RH_LimbicA_TempPole_1,RH,LimbicA,TempPole,27.8,-1.3,-40.1
320,17Networks_RH_LimbicA_TempPole_2,RH,LimbicA,TempPole,48.8,-6.5,-39.2
321,17Networks_RH_LimbicA_TempPole_3,RH,LimbicA,TempPole,36.7,16.6,-37.0
322,17Networks_RH_LimbicA_TempPole_4,RH,LimbicA,TempPole,39.4,-14.8,-31.2
323,17Networks_RH_LimbicA_TempPole_5,RH,LimbicA,TempPole,28.6,11.8,-30.4
324,17Networks_RH_LimbicA_TempPole_6,RH,LimbicA,TempPole,50.0,-27.7,-25.9
325,17Networks_RH_ContA_IPS_1,RH,ContA,IPS,35.1,-70.7,46.7
326,17Networks_RH_ContA_IPS_2,RH,ContA,IPS,53.9,-33.2,51.2
327,17Networks_RH_ContA_IPS_3,RH,ContA,IPS,46.8,-44.1,46.7
328,17Networks_RH_ContA_IPS_4,RH,ContA,IPS,36.4,-44.8,45.2
329,17Networks_RH_ContA_PFCd_1,RH,ContA,PFCd,24.3,9.9,57.9
330,17Networks_RH_ContA_PFCl_1,RH,ContA,PFCl,49.1,30.3,18.3
331,17Networks_RH_ContA_PFCl_2,RH,ContA,PFCl,48.3,18.1,23.6
332,17Networks_RH_ContA_PFCl_3,RH,ContA,PFCl,47.3,28.9,28.0
333,17Networks_RH_ContA_PFCl_4,RH,ContA,PFCl,49.0,8.2,24.7
334,17Networks_RH_ContA_PFCl_5,RH,ContA,PFCl,39.3,10.7,33.8
335,17Networks_RH_ContA_Cingm_1,RH,ContA,Cingm,4.8,1.4,30.3
336,17Networks_RH_ContB_Temp_1,RH,ContB,Temp,61.7,-28.7,-19.8
337,17Networks_RH_ContB_Temp_2,RH,ContB,Temp,63.3,-42.2,-10.6
338,17Networks_RH_ContB_IPL_1,RH,ContB,IPL,56.1,-45.4,32.3
339,17Networks_RH_ContB_IPL_2,RH,ContB,IPL,54.6,-52.8,44.5
340,17Networks_RH_ContB_IPL_3,RH,ContB,IPL,55.6,-40.9,47.4
341,17Networks_RH_ContB_IPL_4,RH,ContB,IPL,40.9,-55.1,48.6
342,17Networks_RH_ContB_PFCld_1,RH,ContB,PFCld,39.0,33.4,38.0
343,17Networks_RH_ContB_PFCld_2,RH,ContB,PFCld,44.6,18.9,43.5
344,17Networks_RH_ContB_PFCld_3,RH,ContB,PFCld,43.2,6.0,50.4
345,17Networks_RH_ContB_PFCld_4,RH,ContB,PFCld,34.4,15.6,55.5
346,17Networks_RH_ContB_PFClv_1,RH,ContB,PFClv,35.1,37.7,-13.7
347,17Networks_RH_ContB_PFClv_2,RH,ContB,PFClv,27.9,54.8,-13.5
348,17Networks_RH_ContB_PFClv_3,RH,ContB,PFClv,42.3,51.0,-6.3
349,17Networks_RH_ContB_PFClv_4,RH,ContB,PFClv,27.5,59.2,2.8
350,17Networks_RH_ContB_PFCmp_1,RH,ContB,PFCmp,4.8,28.3,48.1
351,17Networks_RH_ContC_pCun_1,RH,ContC,pCun,16.5,-63.4,27.5
352,17Networks_RH_ContC_pCun_2,RH,ContC,pCun,13.1,-71.5,39.0
353,17Networks_RH_ContC_pCun_3,RH,ContC,pCun,5.7,-64.0,43.6
354,17Networks_RH_ContC_pCun_4,RH,ContC,pCun,7.2,-49.6,44.4
355,17Networks_RH_ContC_pCun_5,RH,ContC,pCun,8.5,-71.0,52.4
356,17Networks_RH_ContC_Cingp_1,RH,ContC,Cingp,7.3,-43.7,19.8
357,17Networks_RH_ContC_Cingp_2,RH,ContC,Cingp,6.4,-26.3,27.9
358,17Networks_RH_DefaultA_Temp_1,RH,DefaultA,Temp,60.5,-7.5,-22.9
359,17Networks_RH_DefaultA_IPL_1,RH,DefaultA,IPL,53.2,-53.3,25.8
360,17Networks_RH_DefaultA_IPL_2,RH,DefaultA,IPL,47.5,-64.3,41.7
361,17Networks_RH_DefaultA_PFCd_1,RH,DefaultA,PFCd,26.2,34.5,39.3
362,17Networks_RH_DefaultA_PFCd_2,RH,DefaultA,PFCd,24.0,25.7,50.8
363,17Networks_RH_DefaultA_pCunPCC_1,RH,DefaultA,pCunPCC,5.8,-52.2,22.9
364,17Networks_RH_DefaultA_pCunPCC_2,RH,DefaultA,pCunPCC,4.9,-63.3,31.3
365,17Networks_RH_DefaultA_pCunPCC_3,RH,DefaultA,pCunPCC,6.7,-38.8,34.8
366,17Networks_RH_DefaultA_pCunPCC_4,RH,DefaultA,pCunPCC,4.1,-19.7,37.0
367,17Networks_RH_DefaultA_pCunPCC_5,RH,DefaultA,pCunPCC,9.9,-52.6,35.1
368,17Networks_RH_DefaultA_PFCm_1,RH,DefaultA,PFCm,5.4,40.4,-10.2
369,17Networks_RH_DefaultA_PFCm_2,RH,DefaultA,PFCm,9.4,66.6,1.1
370,17Networks_RH_DefaultA_PFCm_3,RH,DefaultA,PFCm,7.6,42.0,4.2
371,17Networks_RH_DefaultA_PFCm_4,RH,DefaultA,PFCm,7.4,54.0,12.8
372,17Networks_RH_DefaultA_PFCm_5,RH,DefaultA,PFCm,17.5,64.9,16.2
373,17Networks_RH_DefaultA_PFCm_6,RH,DefaultA,PFCm,5.7,24.8,18.2
374,17Networks_RH_DefaultB_Temp_1,RH,DefaultB,Temp,62.9,-23.1,-7.5
375,17Networks_RH_DefaultB_Temp_2,RH,DefaultB,Temp,63.3,-37.6,0.2
376,17Networks_RH_DefaultB_AntTemp_1,RH,DefaultB,AntTemp,49.1,8.6,-32.8
377,17Networks_RH_DefaultB_PFCd_1,RH,DefaultB,PFCd,6.3,57.6,29.4
378,17Networks_RH_DefaultB_PFCd_2,RH,DefaultB,PFCd,16.4,52.8,35.9
379,17Networks_RH_DefaultB_PFCd_3,RH,DefaultB,PFCd,4.8,44.5,40.1
380,17Networks_RH_DefaultB_PFCd_4,RH,DefaultB,PFCd,13.9,39.1,52.2
381,17Networks_RH_DefaultB_PFCd_5,RH,DefaultB,PFCd,12.0,19.7,62.8
382,17Networks_RH_DefaultB_PFCv_1,RH,DefaultB,PFCv,35.0,23.0,-17.2
383,17Networks_RH_DefaultB_PFCv_2,RH,DefaultB,PFCv,48.0,31.6,-7.8
384,17Networks_RH_DefaultB_PFCv_3,RH,DefaultB,PFCv,53.3,23.8,6.4
385,17Networks_RH_DefaultC_IPL_1,RH,DefaultC,IPL,48.4,-64.1,21.7
386,17Networks_RH_DefaultC_IPL_2,RH,DefaultC,IPL,45.4,-75.1,30.6
387,17Networks_RH_DefaultC_Rsp_1,RH,DefaultC,Rsp,14.4,-47.1,4.2
388,17Networks_RH_DefaultC_Rsp_2,RH,DefaultC,Rsp,12.6,-54.9,15.6
389,17Networks_RH_DefaultC_PHC_1,RH,DefaultC,PHC,22.4,-17.6,-26.8
390,17Networks_RH_DefaultC_PHC_2,RH,DefaultC,PHC,30.6,-30.6,-17.8
391,17Networks_RH_TempPar_1,RH,TempPar,,47.7,16.0,-20.1
392,17Networks_RH_TempPar_2,RH,TempPar,,54.8,-4.1,-14.2
393,17Networks_RH_TempPar_3,RH,TempPar,,49.0,-20.1,-7.4
394,17Networks_RH_TempPar_4,RH,TempPar,,61.8,-18.6,-0.4
395,17Networks_RH_TempPar_5,RH,TempPar,,50.4,-33.1,1.5
396,17Networks_RH_TempPar_6,RH,TempPar,,59.3,-46.4,7.0
397,17Networks_RH_TempPar_7,RH,TempPar,,52.0,-40.9,12.2
398,17Networks_RH_TempPar_8,RH,TempPar,,64.4,-34.4,10.5
399,17Networks_RH_TempPar_9,RH,TempPar,,54.4,-45.7,19.7
400,17Networks_RH_TempPar_10,RH,TempPar,,61.2,-39.7,21.8
