condition,n,selectivity,se_group_mean,ci_lo,ci_hi,p_perm,mean_matching,mean_mismatching,t,df,p_paired,cohens_d,sd_diff
IP-IP,19,0.016488,0.003703,0.009574,0.023892,9.999000099990002e-05,0.018689,0.002201,4.4528,18,0.0003073908419412354,1.0215,0.01614
SP-SP,19,0.007932,0.004135,-0.00081,0.01522,0.004299570042995701,0.01195,0.004019,1.9179,18,0.07112465272819012,0.44,0.018026
SP-IP,19,0.005467,0.004819,-0.004003,0.014617,0.031996800319968,0.008924,0.003457,1.1344,18,0.27150773178448806,0.2602,0.021005
SP-IP-unscr,19,-0.002877,0.00323,-0.008883,0.003234,0.8013198680131987,0.00107,0.003948,-0.8909,18,0.3847591300545876,-0.2044,0.014078
IT-IT,19,0.029916,0.00381,0.022587,0.036943,9.999000099990002e-05,0.056631,0.026715,7.8525,18,3.190897794625585e-07,1.8015,0.016606
IT-IP,19,0.006383,0.003129,-0.000148,0.011889,0.0053994600539946005,0.004416,-0.001967,2.0397,18,0.05633108822018409,0.4679,0.01364
