condition,n,selectivity,se_group_mean,ci_lo,ci_hi,p_perm,mean_matching,mean_mismatching,t,df,p_paired,cohens_d,sd_diff
IP-IP,19,0.007391,0.003856,-0.000141,0.014632,0.0012998700129987,0.016998,0.009607,1.917,18,0.07124769093397189,0.4398,0.016806
SP-SP,19,0.010617,0.003457,0.0038,0.016913,9.999000099990002e-05,0.022458,0.01184,3.0715,18,0.006575799850769063,0.7047,0.015067
SP-IP,19,0.007746,0.00441,-0.001127,0.015875,0.0007999200079992001,0.019171,0.011425,1.7567,18,0.09597223473792586,0.403,0.019221
SP-IP-unscr,19,8.2e-05,0.0022,-0.004204,0.0042,0.47855214478552144,0.011958,0.011876,0.0373,18,0.9706648010791776,0.0086,0.009591
IT-IT,19,0.035996,0.003639,0.029149,0.042991,9.999000099990002e-05,0.052763,0.016766,9.8918,18,1.0556075016284937e-08,2.2693,0.015862
IT-IP,19,0.011957,0.003383,0.005444,0.018447,9.999000099990002e-05,0.005142,-0.006815,3.5344,18,0.0023685633115513756,0.8109,0.014746
