condition,n,selectivity,se_group_mean,ci_lo,ci_hi,p_perm,mean_matching,mean_mismatching,t,df,p_paired,cohens_d,sd_diff
IP-IP,19,0.003705,0.002379,-0.000935,0.008207,0.20187981201879812,0.177289,0.173584,1.5574,18,0.1367842943727785,0.3573,0.010369
SP-SP,19,0.006817,0.001981,0.002946,0.010426,0.0796920307969203,0.17557,0.168753,3.4418,18,0.0029091417194253705,0.7896,0.008634
SP-IP,19,0.004118,0.002614,-0.001164,0.008847,0.19658034196580343,0.175313,0.171194,1.5755,18,0.13254444723899544,0.3615,0.011394
SP-IP-unscr,19,0.000929,0.001457,-0.001908,0.003657,0.41755824417558246,0.172311,0.171382,0.6374,18,0.5319125314576,0.1462,0.006353
IT-IT,19,0.036723,0.00333,0.030409,0.043145,9.999000099990002e-05,0.073444,0.036721,11.0271,18,1.943904241444153e-09,2.5298,0.014516
IT-IP,19,0.007577,0.002254,0.003171,0.011813,0.0892910708929107,-0.055389,-0.062967,3.3617,18,0.003473810880679857,0.7712,0.009825
