condition,subj_index,pre,post,diff_post_minus_pre
intact_pause,0,-0.0031509309597809697,-0.005644927061112649,-0.0024939961013316792
intact_pause,1,0.0794505553830285,0.31660648824047544,0.23715593285744693
intact_pause,2,-0.07163042740087323,0.008185952841659206,0.07981638024253244
intact_pause,3,-0.10543473635525515,0.22131895935976353,0.32675369571501867
intact_pause,4,-0.00911365891637986,0.0478250719649666,0.05693873088134646
intact_pause,5,-0.04434092919921813,-0.015775130947158513,0.028565798252059616
intact_pause,6,0.032505813904008134,0.17531346671536832,0.14280765281136018
intact_pause,7,-0.1696129396931693,-0.07142183467336316,0.09819110501980613
intact_pause,8,0.09439183239460615,0.13498115287521806,0.04058932048061191
intact_pause,9,0.153604458672259,-0.0444980873728233,-0.1981025460450823
intact_pause,10,0.037813838850193245,0.08840184656029085,0.0505880077100976
intact_pause,11,-0.0953989409581518,0.08795432455321264,0.18335326551136444
intact_pause,12,-0.07953001640037301,0.07852444792982367,0.15805446433019668
intact_pause,13,0.06255203328936808,0.004254013693284209,-0.05829801959608387
intact_pause,14,-0.07984617676006023,0.12967789696975632,0.20952407372981655
intact_pause,15,0.003618733369856523,0.18715033201492123,0.18353159864506471
intact_pause,16,-0.04746236378638617,0.12873179050617226,0.1761941542925584
intact_pause,17,-0.08640393389533961,0.013348155071876545,0.09975208896721616
intact_pause,18,-0.06751040861606272,0.07312081835121653,0.14063122696727925
scram_pause,0,0.1229312988311353,-0.10547915059267665,-0.22841044942381195
scram_pause,1,0.009006355282641472,0.031185741514339498,0.022179386231698024
scram_pause,2,0.05442511616899457,0.028470677871139688,-0.025954438297854883
scram_pause,3,-0.021429593503379,-0.05659188806162459,-0.035162294558245585
scram_pause,4,-0.0585670784007001,-0.0007217597165544073,0.05784531868414569
scram_pause,5,-0.0365540355001275,0.029433478032028358,0.06598751353215586
scram_pause,6,-0.0061922036973538095,0.16250422785999852,0.16869643155735234
scram_pause,7,0.07051754244681314,-0.10862943674784098,-0.1791469791946541
scram_pause,8,0.09193606458511312,0.13213671575824226,0.04020065117312914
scram_pause,9,0.043548135670452584,-0.016212304613730938,-0.05976044028418352
scram_pause,10,-0.035350917200165026,0.02857052872821894,0.06392144592838397
scram_pause,11,-0.08650608957716183,0.0064460504680074505,0.09295214004516927
scram_pause,12,-0.012944334071957357,-0.12870074733946751,-0.11575641326751016
scram_pause,13,-0.1113503937297909,-0.05781020918161877,0.05354018454817213
scram_pause,14,0.012458684930997303,0.09715481817870338,0.08469613324770607
scram_pause,15,-0.1650247000135022,-0.09469673278499466,0.07032796722850754
scram_pause,16,0.022668813089966686,0.1076448798549056,0.08497606676493892
scram_pause,17,-0.1846629853861519,-0.003984235498770733,0.18067874988738117
scram_pause,18,-0.015442900244140046,0.045443071155189724,0.06088597139932977
intact_tom,0,0.08054871629519601,0.20111703432935552,0.1205683180341595
intact_tom,1,-0.07289549412081175,0.05188599913758977,0.12478149325840152
intact_tom,2,0.007762038980878413,0.16198396626732023,0.15422192728644182
intact_tom,3,0.03563824802213443,0.05497613255411766,0.019337884531983228
intact_tom,4,0.08241023775821056,-0.12181871202109278,-0.20422894977930334
intact_tom,5,-0.008976036346370224,0.024353299764283156,0.033329336110653376
intact_tom,6,-0.03267559019971306,0.1553816962905603,0.18805728649027337
intact_tom,7,0.13494654986887553,-0.013144464801193837,-0.14809101467006935
intact_tom,8,0.1164530747124102,0.06828654959888478,-0.04816652511352543
intact_tom,9,0.049249113034889824,-0.06115716068675531,-0.11040627372164513
intact_tom,10,0.030725600916487492,0.1065958594710402,0.0758702585545527
intact_tom,11,-0.0007089019484386091,0.015418907014022295,0.016127808962460903
intact_tom,12,0.03157353653221534,0.12416156845949704,0.0925880319272817
intact_tom,13,0.06858587721481839,-0.0560081079674576,-0.12459398518227599
intact_tom,14,-0.04031279304600439,0.09964286818726283,0.13995566123326722
intact_tom,15,0.027366463979299056,0.037342994629052294,0.009976530649753238
intact_tom,16,-0.0204493054936925,0.020245314728335448,0.04069462022202795
intact_tom,17,0.04246822995839311,-0.012525129702653796,-0.0549933596610469
intact_tom,18,0.012470634114909247,0.1506215541332289,0.13815092001831963
