condition,n,group_mean_slope,se_group_mean,ci_lo_group_mean,ci_hi_group_mean,p_perm,per_subj_mean,per_subj_sd,t,df,p_t,cohens_d,intercept,max_d
IP-IP,19,-0.00508365133743269,0.0024746321458905866,-0.0102826605542232,0.00011535787935781916,0.033096690330966905,-0.00508365133743269,0.010786671446374269,-2.054305867591142,18,0.054760966724377844,-0.4712900882080228,0.06589854526282356,5
SP-SP,19,-8.386270694051273e-05,0.002096958870684376,-0.004489409815840275,0.00432168440195925,0.968003199680032,-8.386270694051273e-05,0.009140431806074371,-0.03999253781889522,18,0.9685393228480138,-0.009174917413068043,0.046816113340138354,5
SP-SP-unscr,19,0.0018391528757320471,0.0018348884793878333,-0.0020158047719982157,0.0056941105234623104,0.33156684331566844,0.0018391528757320471,0.00799809345431858,1.002324062956478,18,0.32947202266823566,0.22994891047928356,0.04340824071905153,5
IT-IT,19,0.0008759511488215598,0.002658287769346828,-0.004708904215102377,0.006460806512745497,0.7083291670832916,0.0008759511488215598,0.011587207749432983,0.3295170518866703,18,0.7455684524598667,0.07559639628144445,0.08659152323026345,5
IT-IP,19,-0.00612371893013154,0.0019538801343549047,-0.01022866876838688,-0.0020187690918761995,0.006099390060993901,-0.00612371893013154,0.008516766053444704,-3.134132346431452,18,0.005734377647592556,-0.7190192723040374,0.010919693945452008,5
