condition,n,theta_z,se_group_mean_z,ci_lo,ci_hi,sign_flip_p,direction,mean_r_raw,mean_r_back_tx,ci_boot_lo,ci_boot_hi
IP-IP,19,0.06928335560199937,0.009986283283281728,0.04971024036676719,0.08885647083723155,9.999000099990002e-05,greater,0.0682413785682975,0.06917271044032791,0.042015951573659734,0.09810196075291877
SP-SP,19,0.05817456676035142,0.006791539671631693,0.0448631490039533,0.07148598451674953,9.999000099990002e-05,greater,0.057537142580620676,0.05810902913284589,0.03855672145955893,0.07833373609510785
IT-IT,19,0.16471633173313036,0.014607785199137682,0.1360850727428205,0.1933475907234402,9.999000099990002e-05,greater,0.16129690128797275,0.16324265744817162,0.14022171931814273,0.18883694883188346
IT-IP,19,0.020941933710079217,0.008853950896681053,0.0035881899525843537,0.03829567746757408,0.0143985601439856,greater,0.020668809215508892,0.020938872783537232,-0.00886364167100954,0.05042673267511339
