condition,n,selectivity,se_group_mean,ci_lo,ci_hi,p_perm,t,df,p_paired,cohens_d,mean_matching,mean_mismatching,sd_diff
IP-IP,19,0.021167304484964112,0.008078803427444874,0.005272016654640436,0.03635046523379974,0.009499050094990502,2.62010391452968,18,0.017349549016865216,0.6010930623689582,0.0682413785682975,0.04707407408333339,0.03521468772496224
SP-SP,19,0.011331108074636744,0.004809769084242369,0.002123176772321352,0.020610922324491725,0.08209179082091791,2.355852822905657,18,0.03002003256323804,0.5404697042579358,0.057537142580620676,0.04620603450598392,0.02096529737997866
IT-IT,19,0.07630659839470899,0.007040551476559129,0.06272246540189193,0.0895733639818189,9.999000099990002e-05,10.838156449642447,18,2.5524198151175013e-09,2.4864436156986844,0.16129690128797275,0.08499030289326376,0.030689052393117318
IT-IP,19,0.012967923340685375,0.005845599691741776,0.002354899156660969,0.02452136536127844,0.0365963403659634,2.2184076954509013,18,0.03962579569574544,0.5089376294759703,0.020668809215508892,0.007700885874823517,0.025480378320694917
