parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
34,17Networks_LH_SomMotA_10,LH,SomMotA,nan,Somatomotor,-32.1,-28.9,62.2,-0.04380415682820144,-0.8197622110790523,0.42307428841277506,0.5579061026027206,False
35,17Networks_LH_SomMotA_11,LH,SomMotA,nan,Somatomotor,-29.8,-38.3,64.8,-0.031904939886321405,-0.6285251469589166,0.5375545888750791,0.6636476405865174,False
36,17Networks_LH_SomMotA_12,LH,SomMotA,nan,Somatomotor,-23.5,-10.7,64.9,-0.051934769538643635,-1.392355743393717,0.18077835705486536,0.2892453712877846,False
37,17Networks_LH_SomMotA_13,LH,SomMotA,nan,Somatomotor,-19.3,-24.3,66.5,0.0009424904373522974,0.017876476591202516,0.9859340589122673,0.9933844422289847,False
38,17Networks_LH_SomMotA_14,LH,SomMotA,nan,Somatomotor,-8.4,-41.7,70.2,0.04420767541104196,0.8026956631101045,0.43262213879732686,0.5673732967833794,False
39,17Networks_LH_SomMotA_15,LH,SomMotA,nan,Somatomotor,-4.0,-25.7,68.6,-0.002970640967028961,-0.058102229955988065,0.9543073619117166,0.9713052029635793,False
40,17Networks_LH_SomMotA_16,LH,SomMotA,nan,Somatomotor,-14.2,-11.2,72.2,-0.013531673651577553,-0.3591763405531074,0.7236420119432291,0.8223204681173059,False
41,17Networks_LH_SomMotA_17,LH,SomMotA,nan,Somatomotor,-18.5,-31.0,68.7,0.004597844379855793,0.08216502663174853,0.9354222691931222,0.9594074555826894,False
42,17Networks_LH_SomMotA_18,LH,SomMotA,nan,Somatomotor,-19.0,-40.0,71.8,0.01801955405316328,0.3844421955348527,0.7051548789435386,0.8058912902211869,False
43,17Networks_LH_SomMotA_19,LH,SomMotA,nan,Somatomotor,-11.9,-26.8,73.3,-0.016556929469391683,-0.360163246750384,0.7229165044310336,0.8223204681173059,False
44,17Networks_LH_SomMotB_Aud_1,LH,SomMotB,Aud,Somatomotor,-49.8,-9.8,0.5,-0.7070287180049355,-15.69757751377531,6.010415487456031e-12,8.013887316608042e-10,True
45,17Networks_LH_SomMotB_Aud_2,LH,SomMotB,Aud,Somatomotor,-55.9,-21.4,7.7,-0.9377649035231982,-21.786691188416714,2.1880884305107258e-14,8.752353722042903e-12,True
46,17Networks_LH_SomMotB_Ins_1,LH,SomMotB,Ins,Somatomotor,-36.1,-24.1,9.9,-0.7727865295176775,-13.253533126116997,1.0032976879007282e-10,6.688651252671522e-09,True
47,17Networks_LH_SomMotB_S2_1,LH,SomMotB,S2,Somatomotor,-38.3,-9.1,12.8,-0.18848398707064642,-4.47810288029544,0.0002907101480977078,0.0019380676539847185,True
48,17Networks_LH_SomMotB_S2_2,LH,SomMotB,S2,Somatomotor,-35.7,-26.3,18.9,-0.5253117221620658,-9.90416783495106,1.035539840548128e-08,3.45179946849376e-07,True
49,17Networks_LH_SomMotB_Aud_3,LH,SomMotB,Aud,Somatomotor,-58.6,-37.0,15.7,-0.4462579680534012,-5.997166699338571,1.1335563214409598e-05,0.00012954929387896683,True
50,17Networks_LH_SomMotB_Aud_4,LH,SomMotB,Aud,Somatomotor,-41.1,-34.9,14.3,-0.6602020698894722,-9.524855195830947,1.8789915987229444e-08,5.781512611455214e-07,True
51,17Networks_LH_SomMotB_S2_3,LH,SomMotB,S2,Somatomotor,-48.7,-12.9,14.2,-0.49486089106572717,-10.444869124858291,4.5520300188509544e-09,1.655283643218529e-07,True
52,17Networks_LH_SomMotB_S2_4,LH,SomMotB,S2,Somatomotor,-59.6,-2.3,11.3,-0.3180990784418611,-6.261510251014945,6.626136767220611e-06,8.031680929964376e-05,True
53,17Networks_LH_SomMotB_S2_5,LH,SomMotB,S2,Somatomotor,-48.1,-24.2,17.8,-0.42935789915772954,-9.213610292300926,3.101728355178095e-08,8.862081014794558e-07,True
54,17Networks_LH_SomMotB_S2_6,LH,SomMotB,S2,Somatomotor,-60.9,-17.5,19.5,-0.2526695191671938,-4.244437271636107,0.00048764640518960864,0.0028685082658212275,True
55,17Networks_LH_SomMotB_Cent_1,LH,SomMotB,Cent,Somatomotor,-59.2,-2.2,23.7,-0.09695597636366525,-2.0009089909241875,0.060715246417751306,0.12649009670364855,False
56,17Networks_LH_SomMotB_Cent_2,LH,SomMotB,Cent,Somatomotor,-62.4,-10.3,31.2,-0.08844805331759562,-2.013473548820353,0.05926400999560197,0.12411310993843344,False
57,17Networks_LH_SomMotB_Cent_3,LH,SomMotB,Cent,Somatomotor,-53.2,-9.0,30.0,-0.051805146847449406,-1.045378189876151,0.3096844639016723,0.4439920629414657,False
58,17Networks_LH_SomMotB_Cent_4,LH,SomMotB,Cent,Somatomotor,-50.9,-6.8,43.1,-0.044323555354316396,-0.9622467100397792,0.3486752474635948,0.4842711770327705,False
59,17Networks_LH_SomMotB_Cent_5,LH,SomMotB,Cent,Somatomotor,-48.0,-16.3,40.2,-0.04003419378296067,-0.8941902348438374,0.38302094458245467,0.5228954874845798,False
60,17Networks_LH_DorsAttnA_TempOcc_1,LH,DorsAttnA,TempOcc,Dorsal attention,-44.9,-42.3,-21.3,-0.07141378943929343,-2.1633095215525,0.04421711920779391,0.0982602649062087,False
