parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
34,17Networks_LH_SomMotA_10,LH,SomMotA,nan,Somatomotor,-32.1,-28.9,62.2,0.11894278167351037,2.198668710754427,0.041217778855524516,0.05665674069487906,False
35,17Networks_LH_SomMotA_11,LH,SomMotA,nan,Somatomotor,-29.8,-38.3,64.8,0.11662759183496399,2.467488660869638,0.023864506983457483,0.03615834391432952,True
36,17Networks_LH_SomMotA_12,LH,SomMotA,nan,Somatomotor,-23.5,-10.7,64.9,0.08855473534907585,2.1916233548298623,0.0418000807210673,0.05687085812390109,False
37,17Networks_LH_SomMotA_13,LH,SomMotA,nan,Somatomotor,-19.3,-24.3,66.5,0.09361898135594066,1.9013431761846322,0.07338843028216445,0.09348844621931776,False
38,17Networks_LH_SomMotA_14,LH,SomMotA,nan,Somatomotor,-8.4,-41.7,70.2,0.11025712735546678,2.929583981758209,0.008953959820819408,0.01584613049136915,True
39,17Networks_LH_SomMotA_15,LH,SomMotA,nan,Somatomotor,-4.0,-25.7,68.6,0.08368468262492951,2.275808098117831,0.03531250530545143,0.05030935395895956,False
40,17Networks_LH_SomMotA_16,LH,SomMotA,nan,Somatomotor,-14.2,-11.2,72.2,0.08251801580451425,1.9432126335397195,0.06779699496348092,0.08691922431215503,False
41,17Networks_LH_SomMotA_17,LH,SomMotA,nan,Somatomotor,-18.5,-31.0,68.7,0.11336233149252263,2.5383320944791605,0.020595800052499058,0.03193147294961095,True
42,17Networks_LH_SomMotA_18,LH,SomMotA,nan,Somatomotor,-19.0,-40.0,71.8,0.09018378944701395,2.3664982264588352,0.029374599248140253,0.04303970585808095,True
43,17Networks_LH_SomMotA_19,LH,SomMotA,nan,Somatomotor,-11.9,-26.8,73.3,0.06471017504766409,1.5432578017541314,0.1401665286653095,0.1668649150777494,False
44,17Networks_LH_SomMotB_Aud_1,LH,SomMotB,Aud,Somatomotor,-49.8,-9.8,0.5,-0.5058359440553001,-8.413317088932997,1.1872610289405488e-07,1.7677874287540903e-06,True
45,17Networks_LH_SomMotB_Aud_2,LH,SomMotB,Aud,Somatomotor,-55.9,-21.4,7.7,-0.7323043352949197,-10.94918976876697,2.173952264705856e-09,1.3924005845940269e-07,True
46,17Networks_LH_SomMotB_Ins_1,LH,SomMotB,Ins,Somatomotor,-36.1,-24.1,9.9,-0.4577404434336525,-6.776429825570946,2.3913722640884072e-06,1.804809255915779e-05,True
47,17Networks_LH_SomMotB_S2_1,LH,SomMotB,S2,Somatomotor,-38.3,-9.1,12.8,-0.010097377947899298,-0.1926907360775561,0.8493585740083398,0.8601099483628758,False
48,17Networks_LH_SomMotB_S2_2,LH,SomMotB,S2,Somatomotor,-35.7,-26.3,18.9,-0.2377543074320764,-4.080610149832183,0.0007018586388456159,0.0018489744492668188,True
49,17Networks_LH_SomMotB_Aud_3,LH,SomMotB,Aud,Somatomotor,-58.6,-37.0,15.7,-0.2649798557037834,-4.579321316829214,0.00023259028665321602,0.0007784665956866081,True
50,17Networks_LH_SomMotB_Aud_4,LH,SomMotB,Aud,Somatomotor,-41.1,-34.9,14.3,-0.5411163067243007,-7.696979953128649,4.228571503947424e-07,4.269764795441026e-06,True
51,17Networks_LH_SomMotB_S2_3,LH,SomMotB,S2,Somatomotor,-48.7,-12.9,14.2,-0.271530162342605,-4.966248625188829,9.988251472585003e-05,0.0004083247585854858,True
