parcel_id,parcel_label,hemisphere,network,subregion,system,x_mni,y_mni,z_mni,onset_response_mean,t_vs0,p_uncorrected,p_FDR_BH,sig_FDR_0.05
34,17Networks_LH_SomMotA_10,LH,SomMotA,nan,Somatomotor,-32.1,-28.9,62.2,0.007715422581817133,0.15766888042978922,0.8764729652345825,0.9210998304212712,False
35,17Networks_LH_SomMotA_11,LH,SomMotA,nan,Somatomotor,-29.8,-38.3,64.8,0.038222678867616613,0.7072154974741668,0.48848838523137555,0.6012164741309238,False
36,17Networks_LH_SomMotA_12,LH,SomMotA,nan,Somatomotor,-23.5,-10.7,64.9,0.04094140487948927,0.8930965628121483,0.38359070883122076,0.49816261077842533,False
37,17Networks_LH_SomMotA_13,LH,SomMotA,nan,Somatomotor,-19.3,-24.3,66.5,-0.027057758511447153,-0.6976748693974526,0.49429483311244804,0.6046419976910679,False
38,17Networks_LH_SomMotA_14,LH,SomMotA,nan,Somatomotor,-8.4,-41.7,70.2,0.06617214974965452,1.1171820562019703,0.2786071742490656,0.3873491512149548,False
39,17Networks_LH_SomMotA_15,LH,SomMotA,nan,Somatomotor,-4.0,-25.7,68.6,-0.008137181312403324,-0.1745900391312497,0.8633505145198017,0.911282134847586,False
40,17Networks_LH_SomMotA_16,LH,SomMotA,nan,Somatomotor,-14.2,-11.2,72.2,0.02283619656408501,0.5242059168193367,0.6065309184196923,0.7073246862037228,False
41,17Networks_LH_SomMotA_17,LH,SomMotA,nan,Somatomotor,-18.5,-31.0,68.7,-0.0009388356515242516,-0.01746047419729863,0.986261351039106,0.9887331839991037,False
42,17Networks_LH_SomMotA_18,LH,SomMotA,nan,Somatomotor,-19.0,-40.0,71.8,0.003656960859305883,0.06718664616855681,0.9471737851390183,0.9665038623867533,False
43,17Networks_LH_SomMotA_19,LH,SomMotA,nan,Somatomotor,-11.9,-26.8,73.3,0.01280752066203108,0.25264385966014274,0.803406008449951,0.8780393534972143,False
44,17Networks_LH_SomMotB_Aud_1,LH,SomMotB,Aud,Somatomotor,-49.8,-9.8,0.5,0.1502249568840008,3.3089208210335306,0.0039036635026850858,0.010479633564255264,True
45,17Networks_LH_SomMotB_Aud_2,LH,SomMotB,Aud,Somatomotor,-55.9,-21.4,7.7,0.23216877624345555,4.382891065153074,0.0003587896604392563,0.001729106797297621,True
46,17Networks_LH_SomMotB_Ins_1,LH,SomMotB,Ins,Somatomotor,-36.1,-24.1,9.9,0.03525296960165136,0.875249298521047,0.39296796740794887,0.5054250384668153,False
47,17Networks_LH_SomMotB_S2_1,LH,SomMotB,S2,Somatomotor,-38.3,-9.1,12.8,-0.005730804495517056,-0.11841765540972471,0.9070482307013674,0.9375175511125244,False
48,17Networks_LH_SomMotB_S2_2,LH,SomMotB,S2,Somatomotor,-35.7,-26.3,18.9,-0.015247629869533933,-0.36457227283031207,0.7196785919354758,0.8109054557019446,False
49,17Networks_LH_SomMotB_Aud_3,LH,SomMotB,Aud,Somatomotor,-58.6,-37.0,15.7,0.3935845914616827,7.382947382961639,7.538738980527749e-07,6.655416364819501e-05,True
50,17Networks_LH_SomMotB_Aud_4,LH,SomMotB,Aud,Somatomotor,-41.1,-34.9,14.3,0.18303216049270948,3.735700156470636,0.001513397687998551,0.005062373888569046,True
51,17Networks_LH_SomMotB_S2_3,LH,SomMotB,S2,Somatomotor,-48.7,-12.9,14.2,0.06503002515507134,1.2637110810132635,0.22245573562078924,0.3177939080296989,False
52,17Networks_LH_SomMotB_S2_4,LH,SomMotB,S2,Somatomotor,-59.6,-2.3,11.3,0.0902537931050859,1.5343485368305134,0.14233349117008073,0.21484300553974453,False
53,17Networks_LH_SomMotB_S2_5,LH,SomMotB,S2,Somatomotor,-48.1,-24.2,17.8,0.0691431952794083,1.6741425374715917,0.11138990298133075,0.17541717004933977,False
54,17Networks_LH_SomMotB_S2_6,LH,SomMotB,S2,Somatomotor,-60.9,-17.5,19.5,0.09541535338808699,1.7210066803335164,0.1023923994394867,0.1631751385489828,False
55,17Networks_LH_SomMotB_Cent_1,LH,SomMotB,Cent,Somatomotor,-59.2,-2.2,23.7,0.028295278518418204,0.5982997959369282,0.5570941881019497,0.6651870902709847,False
56,17Networks_LH_SomMotB_Cent_2,LH,SomMotB,Cent,Somatomotor,-62.4,-10.3,31.2,-0.016069924417497817,-0.3217523715351151,0.7513467527517778,0.8348297252797531,False
57,17Networks_LH_SomMotB_Cent_3,LH,SomMotB,Cent,Somatomotor,-53.2,-9.0,30.0,-0.013515949311198422,-0.2812744618894722,0.7817077691519654,0.8613859715173172,False
58,17Networks_LH_SomMotB_Cent_4,LH,SomMotB,Cent,Somatomotor,-50.9,-6.8,43.1,0.12561677400166885,2.4767794727383476,0.02340958388378817,0.046543563555713756,True
59,17Networks_LH_SomMotB_Cent_5,LH,SomMotB,Cent,Somatomotor,-48.0,-16.3,40.2,0.060641324495968686,1.1818297986761055,0.25265181995985253,0.35710504587965025,False
60,17Networks_LH_DorsAttnA_TempOcc_1,LH,DorsAttnA,TempOcc,Dorsal attention,-44.9,-42.3,-21.3,0.08852114018751579,2.533149951225572,0.020819796547226148,0.04206019504490131,True
61,17Networks_LH_DorsAttnA_TempOcc_2,LH,DorsAttnA,TempOcc,Dorsal attention,-32.2,-41.4,-21.0,0.08708592608612759,2.558995252149475,0.019725091512523562,0.04067029177839909,True
62,17Networks_LH_DorsAttnA_TempOcc_3,LH,DorsAttnA,TempOcc,Dorsal attention,-48.7,-55.7,-15.5,0.14963375586306227,2.7216722800249435,0.01399193003468969,0.03092139234185567,True
63,17Networks_LH_DorsAttnA_TempOcc_4,LH,DorsAttnA,TempOcc,Dorsal attention,-45.2,-70.0,-8.3,0.06724676204461859,1.2211758582175862,0.23777410370169877,0.33726823220099117,False
64,17Networks_LH_DorsAttnA_ParOcc_1,LH,DorsAttnA,ParOcc,Dorsal attention,-47.9,-65.3,14.9,0.049849700090942806,0.8907202620056125,0.38483061682633357,0.49816261077842533,False
65,17Networks_LH_DorsAttnA_ParOcc_2,LH,DorsAttnA,ParOcc,Dorsal attention,-31.8,-84.1,27.0,0.09447575559153815,1.493642364062171,0.1525917986740484,0.22860194557909874,False
66,17Networks_LH_DorsAttnA_SPL_1,LH,DorsAttnA,SPL,Dorsal attention,-26.4,-70.1,30.4,0.1747296446325369,2.907107173816322,0.009399955826379616,0.022514864254801474,True
67,17Networks_LH_DorsAttnA_SPL_2,LH,DorsAttnA,SPL,Dorsal attention,-21.2,-78.6,44.7,0.1510885777038447,3.1285832834043075,0.005804522373231795,0.014883390700594346,True
68,17Networks_LH_DorsAttnA_SPL_3,LH,DorsAttnA,SPL,Dorsal attention,-22.7,-65.5,46.4,0.2595844103018314,4.838042505937521,0.00013198009760784484,0.0008379688737006021,True
69,17Networks_LH_DorsAttnA_SPL_4,LH,DorsAttnA,SPL,Dorsal attention,-28.7,-58.0,50.6,0.27650495381085954,4.709161949520617,0.00017490450206181267,0.0009994542974960724,True
70,17Networks_LH_DorsAttnA_SPL_5,LH,DorsAttnA,SPL,Dorsal attention,-35.9,-51.8,56.0,0.19601301423624387,3.3687919053442776,0.003419784651340372,0.009565831192560482,True
71,17Networks_LH_DorsAttnA_SPL_6,LH,DorsAttnA,SPL,Dorsal attention,-14.9,-71.1,57.0,0.14411047483927164,2.639675344907948,0.016648010993026326,0.03561071870166059,True
72,17Networks_LH_DorsAttnA_SPL_7,LH,DorsAttnA,SPL,Dorsal attention,-28.2,-61.2,62.3,0.10995220282032463,1.8068933651916543,0.0875247515602006,0.14289755356767447,False
73,17Networks_LH_DorsAttnB_PostC_1,LH,DorsAttnB,PostC,Dorsal attention,-61.4,-23.3,32.8,0.05051058783634786,0.8909190078896982,0.3847268132565273,0.49816261077842533,False
74,17Networks_LH_DorsAttnB_PostC_2,LH,DorsAttnB,PostC,Dorsal attention,-54.8,-19.8,40.7,-0.0018423095927769455,-0.03557244700014847,0.9720148038258759,0.9843187886844313,False
75,17Networks_LH_DorsAttnB_PostC_3,LH,DorsAttnB,PostC,Dorsal attention,-54.8,-31.3,44.4,0.13560765867678978,2.54323535435343,0.02038595655503422,0.04156208265660935,True
76,17Networks_LH_DorsAttnB_PostC_4,LH,DorsAttnB,PostC,Dorsal attention,-46.2,-29.1,43.8,0.12485322494954636,2.6089097965731205,0.017763340320762776,0.03759437104923339,True
77,17Networks_LH_DorsAttnB_PostC_5,LH,DorsAttnB,PostC,Dorsal attention,-39.0,-37.5,49.8,0.11401481757597569,1.9941784037978394,0.06150570918726327,0.10743355316552537,False
78,17Networks_LH_DorsAttnB_PostC_6,LH,DorsAttnB,PostC,Dorsal attention,-30.2,-46.3,62.7,0.04987550210899694,0.9157288360608175,0.37191487798897527,0.48616323920127485,False
79,17Networks_LH_DorsAttnB_PostC_7,LH,DorsAttnB,PostC,Dorsal attention,-7.4,-58.5,63.1,0.1888231907371607,2.8158638690655247,0.011440854118438605,0.026300814065376103,True
80,17Networks_LH_DorsAttnB_PostC_8,LH,DorsAttnB,PostC,Dorsal attention,-19.7,-56.5,66.3,0.03006010967876165,0.550858241185453,0.5885034393316562,0.6923569874490073,False
81,17Networks_LH_DorsAttnB_PostC_9,LH,DorsAttnB,PostC,Dorsal attention,-12.9,-50.6,71.6,0.009228235592786469,0.1487676189446588,0.8833910194575897,0.922601586900877,False
82,17Networks_LH_DorsAttnB_FEF_1,LH,DorsAttnB,FEF,Dorsal attention,-40.3,-2.3,51.3,0.13548311669889268,2.2263522278194077,0.039001171085113806,0.07156178180754827,False
83,17Networks_LH_DorsAttnB_FEF_2,LH,DorsAttnB,FEF,Dorsal attention,-25.7,-0.5,55.2,0.1394026468596936,3.0786782541622832,0.0064741678779310806,0.016185419694827702,True
84,17Networks_LH_DorsAttnB_FEF_3,LH,DorsAttnB,FEF,Dorsal attention,-30.0,-8.0,51.7,0.12208208841560825,2.423478675502185,0.02613455266407052,0.0509942491006254,False
85,17Networks_LH_DorsAttnB_PrCv_1,LH,DorsAttnB,PrCv,Dorsal attention,-50.0,2.6,38.0,0.14230198441940253,2.5501638034512006,0.020092884917445097,0.041216174189630965,True
86,17Networks_LH_SalVentAttnA_ParOper_1,LH,SalVentAttnA,ParOper,Salience / ventral attention,-54.6,-32.0,22.2,0.19395087711251613,3.6913286871041326,0.001670611958528604,0.0054328844179792,True
87,17Networks_LH_SalVentAttnA_ParOper_2,LH,SalVentAttnA,ParOper,Salience / ventral attention,-58.0,-44.2,27.3,0.30833541151651955,5.961344245927002,1.219963846158666e-05,0.00014787440559498982,True
88,17Networks_LH_SalVentAttnA_ParOper_3,LH,SalVentAttnA,ParOper,Salience / ventral attention,-61.2,-36.1,33.3,0.21625401542831246,4.170623710235941,0.0005745222600866139,0.002369163959120057,True
89,17Networks_LH_SalVentAttnA_Ins_1,LH,SalVentAttnA,Ins,Salience / ventral attention,-38.7,1.9,-4.6,0.2016647385630444,5.296221599351095,4.912059150945878e-05,0.0004093382625788232,True
90,17Networks_LH_SalVentAttnA_Ins_2,LH,SalVentAttnA,Ins,Salience / ventral attention,-39.8,-14.4,-1.7,0.13490095448336648,2.908195048715436,0.009377883735786886,0.022514864254801474,True
91,17Networks_LH_SalVentAttnA_Ins_3,LH,SalVentAttnA,Ins,Salience / ventral attention,-33.0,19.2,8.2,0.39529322832516456,6.4762637597842,4.313002712082542e-06,9.080005709647457e-05,True
92,17Networks_LH_SalVentAttnA_Ins_4,LH,SalVentAttnA,Ins,Salience / ventral attention,-36.5,4.4,10.7,0.15934760108768667,2.6950271041881195,0.014807184612039276,0.032383740568720086,True
93,17Networks_LH_SalVentAttnA_FrOper_1,LH,SalVentAttnA,FrOper,Salience / ventral attention,-50.5,1.5,4.4,0.1631112072375271,3.276102775353577,0.0041968579092186075,0.011044362918996336,True
94,17Networks_LH_SalVentAttnA_FrOper_2,LH,SalVentAttnA,FrOper,Salience / ventral attention,-52.1,8.7,13.3,0.1549785285418914,2.920578738619239,0.00913013333799892,0.02213365657696708,True
95,17Networks_LH_SalVentAttnA_ParMed_1,LH,SalVentAttnA,ParMed,Salience / ventral attention,-11.0,-27.4,41.1,0.1757772696095536,3.8682353665937987,0.0011263946986191597,0.004022838209354142,True
96,17Networks_LH_SalVentAttnA_ParMed_2,LH,SalVentAttnA,ParMed,Salience / ventral attention,-12.6,-41.5,47.3,0.222841988517964,5.3955924012943255,3.975914531810851e-05,0.00034810675535116,True
97,17Networks_LH_SalVentAttnA_ParMed_3,LH,SalVentAttnA,ParMed,Salience / ventral attention,-5.8,-49.1,57.0,0.25308939794234736,4.323802573100601,0.0004089431670967682,0.0019244384333965564,True
98,17Networks_LH_SalVentAttnA_FrMed_1,LH,SalVentAttnA,FrMed,Salience / ventral attention,-6.5,0.8,40.5,0.11087801145321044,2.9000187461307316,0.009545008205575066,0.02272621001327397,True
99,17Networks_LH_SalVentAttnA_FrMed_2,LH,SalVentAttnA,FrMed,Salience / ventral attention,-5.3,9.3,48.4,0.36652989681254383,6.14733909752825,8.346123378595998e-06,0.00012840189813224614,True
100,17Networks_LH_SalVentAttnA_FrMed_3,LH,SalVentAttnA,FrMed,Salience / ventral attention,-8.5,-2.7,70.9,0.10725013157825151,2.5156014503589015,0.02159553172650072,0.043408103972865764,True
101,17Networks_LH_SalVentAttnB_PFCl_1,LH,SalVentAttnB,PFCl,Salience / ventral attention,-38.2,49.1,11.0,0.2768004108482782,5.268471584912625,5.211854103377667e-05,0.00042545747782674835,True
102,17Networks_LH_SalVentAttnB_PFCl_2,LH,SalVentAttnB,PFCl,Salience / ventral attention,-28.9,43.3,29.5,0.34853007902191385,6.6167922572669235,3.2674404837280314e-06,7.372627738833706e-05,True
103,17Networks_LH_SalVentAttnB_PFCl_3,LH,SalVentAttnB,PFCl,Salience / ventral attention,-35.9,32.0,38.5,0.28426830217556914,5.833921445486551,1.586387165164988e-05,0.00016355424264596167,True
104,17Networks_LH_SalVentAttnB_Ins_1,LH,SalVentAttnB,Ins,Salience / ventral attention,-33.4,16.5,-8.3,0.23790817445622334,5.0957044357039925,7.55064552258014e-05,0.0005519650203924621,True
105,17Networks_LH_SalVentAttnB_Ins_2,LH,SalVentAttnB,Ins,Salience / ventral attention,-32.9,24.6,-0.8,0.3188875007135154,5.97044130917695,1.1973971488575075e-05,0.00014787440559498982,True
106,17Networks_LH_SalVentAttnB_Ins_3,LH,SalVentAttnB,Ins,Salience / ventral attention,-43.3,11.9,2.3,0.35611757568753005,6.0218888773099195,1.0776239220072984e-05,0.0001390482480009417,True
107,17Networks_LH_SalVentAttnB_OFC_1,LH,SalVentAttnB,OFC,Salience / ventral attention,-27.1,49.3,-13.7,0.09481992861203738,3.494563624794468,0.0025877740970956893,0.007667478806209449,True
108,17Networks_LH_SalVentAttnB_PFCmp_1,LH,SalVentAttnB,PFCmp,Salience / ventral attention,-6.0,21.8,31.1,0.3415326793234554,6.066812090125381,9.831560300527747e-06,0.0001310874706737033,True
109,17Networks_LH_LimbicB_OFC_1,LH,LimbicB,OFC,Limbic,-12.4,24.3,-20.5,0.059040086623422805,2.597883384689976,0.018180082301645695,0.037875171461761864,True
110,17Networks_LH_LimbicB_OFC_2,LH,LimbicB,OFC,Limbic,-23.6,22.4,-19.7,0.0939408598862947,3.300705763004914,0.003975109359946312,0.01059239934182241,True
111,17Networks_LH_LimbicB_OFC_3,LH,LimbicB,OFC,Limbic,-10.6,47.3,-21.3,0.03485703086940121,1.5711604915092618,0.13355736911446406,0.2046856231639296,False
112,17Networks_LH_LimbicB_OFC_4,LH,LimbicB,OFC,Limbic,-3.9,23.3,-18.9,-0.019816823488315177,-1.0742779300717429,0.29688875130182857,0.40530887549737693,False
113,17Networks_LH_LimbicB_OFC_5,LH,LimbicB,OFC,Limbic,-15.4,64.3,-8.5,0.00037702930670959725,0.013907189404148269,0.9890570131447272,0.9890570131447272,False
114,17Networks_LH_LimbicA_TempPole_1,LH,LimbicA,TempPole,Limbic,-37.4,-5.5,-42.3,-0.01097772600339491,-0.5267640421395318,0.6047890291583832,0.7073246862037228,False
115,17Networks_LH_LimbicA_TempPole_2,LH,LimbicA,TempPole,Limbic,-25.1,5.8,-38.3,-0.020587344043666123,-0.8068188258106337,0.4303031165021801,0.5412617817637485,False
116,17Networks_LH_LimbicA_TempPole_3,LH,LimbicA,TempPole,Limbic,-25.6,-9.0,-32.6,0.011140639588120449,0.7364814396180916,0.47092818519169555,0.5831927989990038,False
117,17Networks_LH_LimbicA_TempPole_4,LH,LimbicA,TempPole,Limbic,-53.8,-21.4,-31.4,-0.012016135531758383,-0.49616633839476765,0.6257812559053422,0.7213616782770516,False
118,17Networks_LH_LimbicA_TempPole_5,LH,LimbicA,TempPole,Limbic,-40.1,-21.8,-26.6,0.04327714441889339,1.9969706967636254,0.06117665810042708,0.10732747035162644,False
119,17Networks_LH_LimbicA_TempPole_6,LH,LimbicA,TempPole,Limbic,-31.5,11.5,-29.4,-0.04085329006416061,-1.5547709314792204,0.1374070799938684,0.2089841520819291,False
120,17Networks_LH_LimbicA_TempPole_7,LH,LimbicA,TempPole,Limbic,-44.2,5.3,-16.2,0.06245578380608246,1.9166682907199457,0.07129600939788104,0.12033081754916632,False
121,17Networks_LH_ContA_Temp_1,LH,ContA,Temp,Frontoparietal control,-55.1,-61.7,-0.7,0.15109953372278784,2.692193014585749,0.01489652066161124,0.032383740568720086,True
122,17Networks_LH_ContA_IPS_1,LH,ContA,IPS,Frontoparietal control,-28.8,-74.2,42.3,0.15881342848500574,2.474827093057949,0.023504499595635445,0.046543563555713756,True
123,17Networks_LH_ContA_IPS_2,LH,ContA,IPS,Frontoparietal control,-58.3,-41.6,45.6,0.34283313485358563,6.796573528405333,2.2995785631287116e-06,7.372627738833706e-05,True
124,17Networks_LH_ContA_IPS_3,LH,ContA,IPS,Frontoparietal control,-34.4,-62.1,47.9,0.32123821047843615,5.598508041737946,2.590974914117514e-05,0.00025277804040170867,True
125,17Networks_LH_ContA_IPS_4,LH,ContA,IPS,Frontoparietal control,-45.0,-41.3,46.7,0.2725777614984025,5.088761591810631,7.664468970632979e-05,0.0005519650203924621,True
