roi,n_total,n_vox,n_q2,n_q4,n_inv,frac_q4,frac_q4_ci_lo,frac_q4_ci_hi,q2q4_ratio,boot_p_q4gtq2,n_boot,verdict,conds_pooled
A1+,57,447,0,443,443,1.0,1.0,1.0,0.0,0.0001999600079984003,5000,yes,intact_pause+scram_pause+intact_tom
mSTG,57,405,0,404,404,1.0,1.0,1.0,0.0,0.0001999600079984003,5000,yes,intact_pause+scram_pause+intact_tom
dlPFC,57,1163,685,277,962,0.28794178794178793,0.1452281773720313,0.42655473662836063,2.472924187725632,0.9994001199760048,5000,no,intact_pause+scram_pause+intact_tom
AG,57,478,35,295,330,0.8939393939393939,0.7262155817106125,0.9848122299131898,0.11864406779661017,0.0001999600079984003,5000,yes,intact_pause+scram_pause+intact_tom
PCC,57,599,379,133,512,0.259765625,0.186330483980075,0.3396246444738212,2.8496240601503757,1.0,5000,no,intact_pause+scram_pause+intact_tom
dmPFC,57,405,87,279,366,0.7622950819672131,0.6272176522899066,0.8605991311952516,0.3118279569892473,0.0007998400319936012,5000,yes,intact_pause+scram_pause+intact_tom
vmPFC,56,440,51,208,259,0.803088803088803,0.42546352090479284,0.9571945577877692,0.24519230769230768,0.06818636272745451,5000,no,intact_pause+scram_pause+intact_tom
PMC,57,972,290,336,626,0.536741214057508,0.3917195747283248,0.7613794494852554,0.8630952380952381,0.35232953409318135,5000,no,intact_pause+scram_pause+intact_tom
