parcel_id,hemi,network,system,x,y,z,scheme,slope,t,p_perm,p_FDR
285,RH,SalVentAttnA,Salience / ventral attention,57.9,-30.9,24.3,IT-IT,-0.0031918438594789,-3.465584396905911,9.999000099990002e-05,0.0033330000333300007
122,LH,ContA,Frontoparietal control,-28.8,-74.2,42.3,IT-IT,-0.0039338943177287,-3.4547334836163497,0.0012998700129987,0.021664500216645
80,LH,DorsAttnB,Dorsal attention,-19.7,-56.5,66.3,IT-IT,-0.0040784178668848,-3.440905585246637,0.0001999800019998,0.004999500049995
88,LH,SalVentAttnA,Salience / ventral attention,-61.2,-36.1,33.3,IT-IT,-0.0028238720111389,-3.410913754993695,0.0037996200379962,0.04470141221172
188,LH,DefaultC,Default mode,-40.4,-78.5,30.2,IT-IT,-0.0032246027437395,-3.291794495366593,0.0028997100289971,0.03741561327738194
76,LH,DorsAttnB,Dorsal attention,-46.2,-29.1,43.8,IT-IT,-0.0029504715880312,-3.150564801929536,0.0027997200279972,0.037329600373296
286,RH,SalVentAttnA,Salience / ventral attention,60.4,-21.9,22.5,IT-IT,-0.0036813749550849,-3.136354988687864,9.999000099990002e-05,0.0033330000333300007
349,RH,ContB,Frontoparietal control,27.5,59.2,2.8,IT-IT,-0.003266025952662,-2.965223166794373,0.0003999600039996,0.008420210610517894
260,RH,DorsAttnA,Dorsal attention,49.8,-49.3,-18.1,IT-IT,-0.0026032795851807,-2.9485307473272844,0.0032996700329967,0.04124587541245875
253,RH,SomMotB,Somatomotor,59.2,0.7,10.4,IT-IT,-0.0034823342885647,-2.945682279920225,0.0001999800019998,0.004999500049995
27,LH,SomMotA,Somatomotor,-48.7,-17.4,54.2,IT-IT,-0.0033430325346056,-2.9260823991532368,0.0002999700029997,0.006666000066659999
150,LH,DefaultA,Default mode,-41.4,-72.0,43.3,IT-IT,-0.0043674516046629,-2.9089596921104595,9.999000099990002e-05,0.0033330000333300007
356,RH,ContC,Frontoparietal control,7.3,-43.7,19.8,IT-IT,-0.003251772396178,-2.810047776352682,0.0043995600439956,0.048643784270221625
254,RH,SomMotB,Somatomotor,49.0,-21.3,18.5,IT-IT,-0.0036024413262389,-2.764043935082347,0.0005999400059994,0.010908000109079998
264,RH,DorsAttnA,Dorsal attention,35.6,-79.3,24.2,IT-IT,-0.0043476484805507,-2.6150080204201247,0.0006999300069993,0.01217269577390087
71,LH,DorsAttnA,Dorsal attention,-14.9,-71.1,57.0,IT-IT,-0.0037691619755418,-2.5933815404439216,0.0005999400059994,0.010908000109079998
272,RH,DorsAttnA,Dorsal attention,13.5,-64.0,64.8,IT-IT,-0.004178518311401,-2.5821839658721117,0.0002999700029997,0.006666000066659999
32,LH,SomMotA,Somatomotor,-3.9,-8.6,59.1,IT-IT,-0.0033694381377533,-2.505670872805502,9.999000099990002e-05,0.0033330000333300007
304,RH,SalVentAttnB,Salience / ventral attention,62.1,-37.4,37.0,IT-IT,-0.0032865384687855,-2.476396697850737,0.0044995500449955,0.048643784270221625
59,LH,SomMotB,Somatomotor,-48.0,-16.3,40.2,IT-IT,-0.002515627255994,-2.2397029723265622,0.0027997200279972,0.037329600373296
355,RH,ContC,Frontoparietal control,8.5,-71.0,52.4,IT-IT,-0.003282358593331,-2.062663396831899,0.0040995900409959,0.046852457611381716
345,RH,ContB,Frontoparietal control,34.4,15.6,55.5,IT-IT,-0.0030881011432289,-2.020884782105607,0.0024997500249975,0.035710714642821426
