condition,n,mean_flip_index,mean_interruption_similarity,pearson_r,ci_lo,ci_hi,p,slope,intercept
IP,19,-0.21138667898442287,0.24558115600412,-0.7321798017426921,-0.8939581334201894,-0.5876347621214398,0.00036504330867347383,-0.6220646075937617,0.11408498449112661
SP,19,-0.26524728984636187,0.1893008217254107,-0.4339763566682408,-0.6855748209389415,-0.1160528831482693,0.06338924185027156,-0.49063029588889484,0.0591624654243626
IT,19,-0.20168296209899034,0.28359914395938796,-0.6395119818723858,-0.8661526447200734,-0.27238409577355793,0.003194782671739659,-0.48514606674308247,0.1857534481679687
