roi,n_total,n_vox,n_q2,n_q4,n_inv,frac_q4,frac_q4_ci_lo,frac_q4_ci_hi,q2q4_ratio,boot_p_q4gtq2,n_boot,verdict,conds_pooled
A1+,57,447,0,440,440,1.0,1.0,1.0,0.0,0.0001999600079984003,5000,yes,intact_pause+scram_pause+intact_tom
dlPFC,57,1163,464,332,796,0.41708542713567837,0.22538391282001416,0.5726589541778082,1.3975903614457832,0.8262347530493901,5000,no,intact_pause+scram_pause+intact_tom
PMC,57,972,659,30,689,0.04354136429608128,0.001182949762693651,0.1895954116466753,21.966666666666665,1.0,5000,no,intact_pause+scram_pause+intact_tom
